p,maxb,k,minb
1,0.0040502951,2000,0.0040502951
0.9,0.0775399991,2000,-0.070185618
0.8,0.1377277935,2000,-0.129508966
0.7,0.1953500777,2000,-0.187029024
0.6,0.2529855346,2000,-0.244669781
0.5,0.3127819241,2000,-0.304677868
0.4,0.3783730246,2000,-0.370583887
0.3,0.4532565828,2000,-0.445585055
0.2,0.545771694,2000,-0.538028934
0.1,0.6918996437,2000,-0.677009047
