p,maxb,k,minb
1,0.0090499855,1000,0.0090499805
0.9,0.0817273087,1000,-0.069889388
0.8,0.1422587413,1000,-0.130831191
0.7,0.2011051823,1000,-0.189296035
0.6,0.2599165237,1000,-0.246140895
0.5,0.3221241562,1000,-0.304023931
0.4,0.3924609593,1000,-0.367873549
0.3,0.4735245681,1000,-0.440742479
0.2,0.5723628543,1000,-0.527531646
0.1,0.7295379726,1000,-0.655032936
