P,SAUC_LB,SAUC_UB,MAXB
0.1,0.6057661158,0.9602254887,1.4080713212
0.2,0.6696487642,0.9476446751,1.1159744859
0.3,0.7100413028,0.9372872134,0.9211967036
0.4,0.7405809364,0.9277158419,0.7659241834
0.5,0.7656032322,0.918143692,0.6282743422
0.6,0.7870560598,0.9083277606,0.5013273977
0.7,0.8067076073,0.897641718,0.3760789288
0.8,0.8240893562,0.8863556141,0.2555516597
0.9,0.8411957299,0.8730889363,0.1262655587
1,0.8577778079,0.8577778079,-0.009632714
