p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,1000,0.0272973247,OK,BEST_FE,0.0272973247,OK,BEST_FE,1,1
0.9,1000,0.202824457,OK,OPTIMAL,-0.145382103,OK,OPTIMAL,1,1
0.8,1000,0.3453093466,OK,OPTIMAL,-0.287101411,OK,OPTIMAL,1,1
0.7,1000,0.4818067645,OK,OPTIMAL,-0.42086425,OK,OPTIMAL,1,1
0.6,1000,0.6172180412,OK,OPTIMAL,-0.557619934,OK,OPTIMAL,1,1
0.5,1000,0.754405998,OK,OPTIMAL,-0.699812419,OK,OPTIMAL,1,1
0.4,1000,0.906142306,OK,OPTIMAL,-0.859057507,OK,OPTIMAL,1,1
0.3,1000,1.0769343557,OK,OPTIMAL,-1.037163674,OK,OPTIMAL,1,1
0.2,1000,1.2937646525,OK,OPTIMAL,-1.253688498,OK,OPTIMAL,1,1
0.1,1000,1.6050624509,OK,OPTIMAL,-1.576103161,OK,OPTIMAL,1,1
1,1000,-0.024290528,OK,OPTIMAL,-0.024290528,OK,OPTIMAL,2,1
0.9,1000,0.1474412632,OK,OPTIMAL,-0.205027483,OK,OPTIMAL,2,1
0.8,1000,0.2863053357,OK,OPTIMAL,-0.34562299,OK,OPTIMAL,2,1
0.7,1000,0.417037935,OK,OPTIMAL,-0.469787999,OK,OPTIMAL,2,1
0.6,1000,0.5474950039,OK,OPTIMAL,-0.596557658,OK,OPTIMAL,2,1
0.5,1000,0.6829149721,OK,OPTIMAL,-0.731493082,OK,OPTIMAL,2,1
0.4,1000,0.8355835925,OK,OPTIMAL,-0.883459754,OK,OPTIMAL,2,1
0.3,1000,1.0191295801,OK,OPTIMAL,-1.057976871,OK,OPTIMAL,2,1
0.2,1000,1.2697947857,OK,OPTIMAL,-1.275542929,OK,OPTIMAL,2,1
0.1,1000,1.6260475244,OK,OPTIMAL,-1.593484583,OK,OPTIMAL,2,1
1,1000,0.0038107917,OK,BEST_FE,0.0038107917,OK,BEST_FE,3,1
0.9,1000,0.1713467126,OK,OPTIMAL,-0.169997822,OK,OPTIMAL,3,1
0.8,1000,0.3033298784,OK,OPTIMAL,-0.305205935,OK,OPTIMAL,3,1
0.7,1000,0.4336535011,OK,OPTIMAL,-0.432276182,OK,OPTIMAL,3,1
0.6,1000,0.566743975,OK,OPTIMAL,-0.558907098,OK,OPTIMAL,3,1
0.5,1000,0.7021691866,OK,OPTIMAL,-0.694545372,OK,OPTIMAL,3,1
0.4,1000,0.8493577695,OK,OPTIMAL,-0.842065115,OK,OPTIMAL,3,1
0.3,1000,1.0252585378,OK,OPTIMAL,-1.003107366,OK,OPTIMAL,3,1
0.2,1000,1.2487315124,OK,OPTIMAL,-1.203105144,OK,OPTIMAL,3,1
0.1,1000,1.5917817828,OK,OPTIMAL,-1.527553211,OK,OPTIMAL,3,1
1,1000,0.0175408773,OK,BEST_FE,0.0175408773,OK,BEST_FE,4,1
0.9,1000,0.1785247774,OK,OPTIMAL,-0.153386143,OK,OPTIMAL,4,1
0.8,1000,0.3155633241,OK,OPTIMAL,-0.290330196,OK,OPTIMAL,4,1
0.7,1000,0.4484206182,OK,OPTIMAL,-0.420401021,OK,OPTIMAL,4,1
0.6,1000,0.5805919708,OK,OPTIMAL,-0.547764842,OK,OPTIMAL,4,1
0.5,1000,0.7174574332,OK,OPTIMAL,-0.682315855,OK,OPTIMAL,4,1
0.4,1000,0.8669667621,OK,OPTIMAL,-0.82850477,OK,OPTIMAL,4,1
0.3,1000,1.0433418388,OK,OPTIMAL,-0.991774348,OK,OPTIMAL,4,1
0.2,1000,1.2578518151,OK,OPTIMAL,-1.18340542,OK,OPTIMAL,4,1
0.1,1000,1.5793856036,OK,OPTIMAL,-1.454933502,OK,OPTIMAL,4,1
1,1000,-0.004433676,OK,BEST_FE,-0.004433676,OK,OPTIMAL,5,1
0.9,1000,0.1659260092,OK,OPTIMAL,-0.174427396,OK,OPTIMAL,5,1
0.8,1000,0.3034359514,OK,OPTIMAL,-0.312094631,OK,OPTIMAL,5,1
0.7,1000,0.4340893078,OK,OPTIMAL,-0.441353285,OK,OPTIMAL,5,1
0.6,1000,0.5626643909,OK,OPTIMAL,-0.568984294,OK,OPTIMAL,5,1
0.5,1000,0.6944144129,OK,OPTIMAL,-0.703277791,OK,OPTIMAL,5,1
0.4,1000,0.8438635832,OK,OPTIMAL,-0.856567846,OK,OPTIMAL,5,1
0.3,1000,1.0189758117,OK,OPTIMAL,-1.031598581,OK,OPTIMAL,5,1
0.2,1000,1.2350682935,OK,OPTIMAL,-1.244739712,OK,OPTIMAL,5,1
0.1,1000,1.5490743275,OK,OPTIMAL,-1.56127976,OK,OPTIMAL,5,1
1,1000,0.0145312978,OK,BEST_FE,0.0145312978,OK,BEST_FE,6,1
0.9,1000,0.1924318954,OK,OPTIMAL,-0.157017213,OK,OPTIMAL,6,1
0.8,1000,0.3340488504,OK,OPTIMAL,-0.297853246,OK,OPTIMAL,6,1
0.7,1000,0.4701249195,OK,OPTIMAL,-0.435675608,OK,OPTIMAL,6,1
0.6,1000,0.6081071211,OK,OPTIMAL,-0.574742352,OK,OPTIMAL,6,1
0.5,1000,0.750968504,OK,OPTIMAL,-0.721951887,OK,OPTIMAL,6,1
0.4,1000,0.8999156958,OK,OPTIMAL,-0.877319798,OK,OPTIMAL,6,1
0.3,1000,1.0690315654,OK,OPTIMAL,-1.05247501,OK,OPTIMAL,6,1
0.2,1000,1.2728998806,OK,OPTIMAL,-1.272378892,OK,OPTIMAL,6,1
0.1,1000,1.5821250519,OK,OPTIMAL,-1.610210112,OK,OPTIMAL,6,1
1,1000,0.0152944185,OK,BEST_FE,0.0152944185,OK,BEST_FE,7,1
0.9,1000,0.1890095228,OK,OPTIMAL,-0.16161704,OK,OPTIMAL,7,1
0.8,1000,0.3231578077,OK,OPTIMAL,-0.296282372,OK,OPTIMAL,7,1
0.7,1000,0.4551464739,OK,OPTIMAL,-0.42455876,OK,OPTIMAL,7,1
0.6,1000,0.5889205529,OK,OPTIMAL,-0.556337149,OK,OPTIMAL,7,1
0.5,1000,0.7249032756,OK,OPTIMAL,-0.694297204,OK,OPTIMAL,7,1
0.4,1000,0.8742201913,OK,OPTIMAL,-0.846618365,OK,OPTIMAL,7,1
0.3,1000,1.0455455504,OK,OPTIMAL,-1.014958916,OK,OPTIMAL,7,1
0.2,1000,1.2704690394,OK,OPTIMAL,-1.225009733,OK,OPTIMAL,7,1
0.1,1000,1.6311698791,OK,OPTIMAL,-1.571776463,OK,OPTIMAL,7,1
1,1000,-0.002019147,OK,BEST_FE,-0.002019147,OK,OPTIMAL,8,1
0.9,1000,0.1691179644,OK,OPTIMAL,-0.171916162,OK,OPTIMAL,8,1
0.8,1000,0.3021449575,OK,OPTIMAL,-0.310141736,OK,OPTIMAL,8,1
0.7,1000,0.4294353979,OK,OPTIMAL,-0.438371073,OK,OPTIMAL,8,1
0.6,1000,0.561094455,OK,OPTIMAL,-0.566947963,OK,OPTIMAL,8,1
0.5,1000,0.697359664,OK,OPTIMAL,-0.701395869,OK,OPTIMAL,8,1
0.4,1000,0.8468460293,OK,OPTIMAL,-0.848158721,OK,OPTIMAL,8,1
0.3,1000,1.0200472725,OK,OPTIMAL,-1.01267147,OK,OPTIMAL,8,1
0.2,1000,1.2393077183,OK,OPTIMAL,-1.227473935,OK,OPTIMAL,8,1
0.1,1000,1.5506427266,OK,OPTIMAL,-1.565897841,OK,OPTIMAL,8,1
1,1000,0.0170317219,OK,BEST_FE,0.0170317219,OK,BEST_FE,9,1
0.9,1000,0.1787937169,OK,OPTIMAL,-0.14691351,OK,OPTIMAL,9,1
0.8,1000,0.3067329732,OK,OPTIMAL,-0.278013898,OK,OPTIMAL,9,1
0.7,1000,0.4318924483,OK,OPTIMAL,-0.401215847,OK,OPTIMAL,9,1
0.6,1000,0.5568379026,OK,OPTIMAL,-0.525124178,OK,OPTIMAL,9,1
0.5,1000,0.6879515167,OK,OPTIMAL,-0.653849451,OK,OPTIMAL,9,1
0.4,1000,0.8317384678,OK,OPTIMAL,-0.794149442,OK,OPTIMAL,9,1
0.3,1000,0.9968611683,OK,OPTIMAL,-0.954914713,OK,OPTIMAL,9,1
0.2,1000,1.2060654696,OK,OPTIMAL,-1.150581968,OK,OPTIMAL,9,1
0.1,1000,1.5161247268,OK,OPTIMAL,-1.462390646,OK,OPTIMAL,9,1
1,1000,-0.013093393,OK,OPTIMAL,-0.013093393,OK,OPTIMAL,10,1
0.9,1000,0.1568243519,OK,OPTIMAL,-0.181196272,OK,OPTIMAL,10,1
0.8,1000,0.2921666298,OK,OPTIMAL,-0.320960688,OK,OPTIMAL,10,1
0.7,1000,0.4171445992,OK,OPTIMAL,-0.451654539,OK,OPTIMAL,10,1
0.6,1000,0.5465223572,OK,OPTIMAL,-0.580033316,OK,OPTIMAL,10,1
0.5,1000,0.6851780404,OK,OPTIMAL,-0.711366393,OK,OPTIMAL,10,1
0.4,1000,0.8387873409,OK,OPTIMAL,-0.853907355,OK,OPTIMAL,10,1
0.3,1000,1.0141545232,OK,OPTIMAL,-1.020904961,OK,OPTIMAL,10,1
0.2,1000,1.2272144189,OK,OPTIMAL,-1.242984316,OK,OPTIMAL,10,1
0.1,1000,1.5235823128,OK,OPTIMAL,-1.565921065,OK,OPTIMAL,10,1
1,1000,0.0272973247,OK,BEST_FE,0.0272973247,OK,OPTIMAL,1,2
0.9,1000,0.3471415513,OK,BEST_FE,-0.246436247,OK,BEST_FE,1,2
0.8,1000,0.4549173219,OK,BEST_FE,-0.394075931,OK,OPTIMAL,1,2
0.7,1000,0.5886131478,OK,BEST_FE,-0.457066164,OK,BEST_FE,1,2
0.6,1000,0.7222871163,OK,BEST_FE,-0.586553063,OK,OPTIMAL,1,2
0.5,1000,0.8472343535,OK,OPTIMAL,-0.720643282,OK,OPTIMAL,1,2
0.4,1000,0.9873965513,OK,OPTIMAL,-0.871615323,OK,OPTIMAL,1,2
0.3,1000,1.2716711137,OK,OPTIMAL,-1.03659772,OK,OPTIMAL,1,2
0.2,1000,1.4735735095,OK,OPTIMAL,-1.750954445,OK,BEST_FE,1,2
0.1,1000,2.9010428775,OK,BEST_FE,-2.140512943,OK,BEST_FE,1,2
1,1000,-0.024290528,OK,OPTIMAL,-0.024290528,OK,BEST_FE,2,2
0.9,1000,0.2858570927,OK,BEST_FE,-0.206457436,OK,OPTIMAL,2,2
0.8,1000,0.3828419714,OK,BEST_FE,-0.472234918,OK,OPTIMAL,2,2
0.7,1000,0.5142671821,OK,BEST_FE,-0.534190861,OK,BEST_FE,2,2
0.6,1000,0.6331100283,OK,OPTIMAL,-0.655060585,OK,BEST_FE,2,2
0.5,1000,0.8838958985,OK,OPTIMAL,-0.776538925,OK,OPTIMAL,2,2
0.4,1000,1.0289809668,OK,OPTIMAL,-0.915709541,OK,OPTIMAL,2,2
0.3,1000,1.9891311822,OK,BEST_FE,-1.06650958,OK,OPTIMAL,2,2
0.2,1000,2.1329998781,OK,BEST_FE,-1.992462654,OK,BEST_FE,2,2
0.1,1000,2.7169212377,OK,BEST_FE,-2.515285746,OK,BEST_FE,2,2
1,1000,0.0038107917,OK,BEST_FE,0.0038107917,OK,BEST_FE,3,2
0.9,1000,0.3118493654,OK,BEST_FE,-0.309589038,OK,BEST_FE,3,2
0.8,1000,0.4050834699,OK,BEST_FE,-0.40938875,OK,BEST_FE,3,2
0.7,1000,0.5303353355,OK,BEST_FE,-0.534992772,OK,BEST_FE,3,2
0.6,1000,0.6523175395,OK,OPTIMAL,-0.65532662,OK,OPTIMAL,3,2
0.5,1000,0.7841315721,OK,OPTIMAL,-0.780796848,OK,OPTIMAL,3,2
0.4,1000,1.0390842151,OK,OPTIMAL,-1.043644134,OK,BEST_FE,3,2
0.3,1000,1.2014083899,OK,OPTIMAL,-1.050709302,OK,OPTIMAL,3,2
0.2,1000,2.1419154178,OK,BEST_FE,-2.113781672,OK,OPTIMAL,3,2
0.1,1000,2.7241566902,OK,BEST_FE,-2.68915104,OK,BEST_FE,3,2
1,1000,0.0175408773,OK,BEST_FE,0.0175408773,OK,OPTIMAL,4,2
0.9,1000,0.2865133996,OK,BEST_FE,-0.273011445,OK,BEST_FE,4,2
0.8,1000,0.3795151924,OK,BEST_FE,-0.372279576,OK,BEST_FE,4,2
0.7,1000,0.5098378927,OK,BEST_FE,-0.500381581,OK,BEST_FE,4,2
0.6,1000,0.6388389828,OK,OPTIMAL,-0.623193972,OK,OPTIMAL,4,2
0.5,1000,0.8532948335,OK,BEST_FE,-0.748849264,OK,OPTIMAL,4,2
0.4,1000,0.9973420043,OK,OPTIMAL,-0.988352179,OK,OPTIMAL,4,2
0.3,1000,1.7427601292,OK,BEST_FE,-1.031435965,OK,OPTIMAL,4,2
0.2,1000,1.8852100071,OK,OPTIMAL,-1.311800291,OK,OPTIMAL,4,2
0.1,1000,2.3525001198,OK,OPTIMAL,-2.433809887,OK,BEST_FE,4,2
1,1000,-0.004433676,OK,OPTIMAL,-0.004433676,OK,BEST_FE,5,2
0.9,1000,0.2713903882,OK,BEST_FE,-0.292860648,OK,BEST_FE,5,2
0.8,1000,0.3683019015,OK,BEST_FE,-0.392419655,OK,BEST_FE,5,2
0.7,1000,0.4980791132,OK,BEST_FE,-0.520131373,OK,BEST_FE,5,2
0.6,1000,0.620380083,OK,OPTIMAL,-0.743167536,OK,BEST_FE,5,2
0.5,1000,0.7440416746,OK,OPTIMAL,-0.77428263,OK,OPTIMAL,5,2
0.4,1000,1.3971708146,OK,BEST_FE,-1.012913268,OK,OPTIMAL,5,2
0.3,1000,1.7310431525,OK,BEST_FE,-1.173560688,OK,OPTIMAL,5,2
0.2,1000,1.8709577895,OK,BEST_FE,-1.987466468,OK,BEST_FE,5,2
0.1,1000,2.3409640718,OK,BEST_FE,-2.502241458,OK,OPTIMAL,5,2
1,1000,0.0145312978,OK,OPTIMAL,0.0145312978,OK,OPTIMAL,6,2
0.9,1000,0.304276572,OK,BEST_FE,-0.302992319,OK,BEST_FE,6,2
0.8,1000,0.4094838102,OK,BEST_FE,-0.393980481,OK,BEST_FE,6,2
0.7,1000,0.5425514724,OK,BEST_FE,-0.5251293,OK,BEST_FE,6,2
0.6,1000,0.6739513109,OK,OPTIMAL,-0.65729353,OK,OPTIMAL,6,2
0.5,1000,0.8146362848,OK,OPTIMAL,-0.788103063,OK,OPTIMAL,6,2
0.4,1000,1.0453468496,OK,OPTIMAL,-0.941795803,OK,OPTIMAL,6,2
0.3,1000,1.0975112031,OK,OPTIMAL,-1.081385634,OK,OPTIMAL,6,2
0.2,1000,1.9888005335,OK,OPTIMAL,-2.204217441,OK,OPTIMAL,6,2
0.1,1000,2.4924901604,OK,OPTIMAL,-2.822083916,OK,BEST_FE,6,2
1,1000,0.0152944185,OK,BEST_FE,0.0152944185,OK,OPTIMAL,7,2
0.9,1000,0.3092023492,OK,BEST_FE,-0.277006249,OK,BEST_FE,7,2
0.8,1000,0.4105808566,OK,BEST_FE,-0.36417366,OK,BEST_FE,7,2
0.7,1000,0.5373432614,OK,BEST_FE,-0.488909111,OK,OPTIMAL,7,2
