p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.011326697,2000,-0.011326697,1,-0.011326697,-0.011326697,0,0
0.9,0.1469854309,2000,-0.170139606,1,-0.011326697,-0.011326697,0.158312128,-0.158812908
0.8,0.2750709799,2000,-0.301069698,1,-0.011326697,-0.011326697,0.286397677,-0.289743001
0.7,0.3970344165,2000,-0.424493462,1,-0.011326697,-0.011326697,0.4083611136,-0.413166765
0.6,0.5209661827,2000,-0.546736705,1,-0.011326697,-0.011326697,0.5322928798,-0.535410008
0.5,0.6510792392,2000,-0.673739033,1,-0.011326697,-0.011326697,0.6624059363,-0.662412336
0.4,0.7946699203,2000,-0.812629993,1,-0.011326697,-0.011326697,0.8059966174,-0.801303296
0.3,0.9604710064,2000,-0.972189595,1,-0.011326697,-0.011326697,0.9717977036,-0.960862898
0.2,1.1651206595,2000,-1.174265986,1,-0.011326697,-0.011326697,1.1764473566,-1.162939289
0.1,1.4644546571,2000,-1.482757123,1,-0.011326697,-0.011326697,1.4757813542,-1.471430426
