p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.009330446,2000,-0.009330446,1,-0.009330446,-0.009330446,0,0
0.9,0.271556274,2000,-0.176221676,1,-0.009330446,-0.009330446,0.2808867199,-0.166891231
0.8,0.4124773581,2000,-0.407055756,1,-0.009330446,-0.009330446,0.4218078039,-0.397725311
0.7,0.4488420192,2000,-0.53674746,1,-0.009330446,-0.009330446,0.458172465,-0.527417015
0.6,0.6655406782,2000,-0.565588715,1,-0.009330446,-0.009330446,0.674871124,-0.556258269
0.5,0.6991570064,2000,-0.74615725,1,-0.009330446,-0.009330446,0.7084874522,-0.736826804
0.4,0.9276192627,2000,-1.157445378,1,-0.009330446,-0.009330446,0.9369497086,-1.148114932
0.3,1.0840447774,2000,-1.433408056,1,-0.009330446,-0.009330446,1.0933752233,-1.424077611
0.2,1.8686892275,2000,-1.559366771,1,-0.009330446,-0.009330446,1.8780196734,-1.550036325
0.1,2.0324173704,2000,-1.706783306,1,-0.009330446,-0.009330446,2.0417478162,-1.697452861
