p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.009330446,2000,-0.009330446,1,-0.009330446,-0.009330446,0,0
0.9,0.1526970297,2000,-0.174452271,1,-0.009330446,-0.009330446,0.1620274755,-0.165121825
0.8,0.2849066731,2000,-0.311809624,1,-0.009330446,-0.009330446,0.2942371189,-0.302479178
0.7,0.4102855386,2000,-0.439309484,1,-0.009330446,-0.009330446,0.4196159844,-0.429979038
0.6,0.5369666188,2000,-0.56365991,1,-0.009330446,-0.009330446,0.5462970647,-0.554329464
0.5,0.6729963112,2000,-0.691445025,1,-0.009330446,-0.009330446,0.682326757,-0.682114579
0.4,0.8250660954,2000,-0.831653414,1,-0.009330446,-0.009330446,0.8343965412,-0.822322969
0.3,1.0017092534,2000,-0.99619139,1,-0.009330446,-0.009330446,1.0110396992,-0.986860944
0.2,1.2180718591,2000,-1.20369288,1,-0.009330446,-0.009330446,1.2274023049,-1.194362434
0.1,1.5233495302,2000,-1.514209343,1,-0.009330446,-0.009330446,1.532679976,-1.504878897
