p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.011326697,2000,-0.011326697,1,-0.011326697,-0.011326697,0,0
0.9,0.2588941922,2000,-0.263661354,1,-0.011326697,-0.011326697,0.2702208893,-0.252334657
0.8,0.3985827971,2000,-0.40327829,1,-0.011326697,-0.011326697,0.4099094942,-0.391951593
0.7,0.5174126916,2000,-0.527259288,1,-0.011326697,-0.011326697,0.5287393887,-0.515932591
0.6,0.5494434352,2000,-0.546378178,1,-0.011326697,-0.011326697,0.5607701323,-0.535051481
0.5,0.7607611364,2000,-0.72919401,1,-0.011326697,-0.011326697,0.7720878335,-0.717867313
0.4,1.2257319374,2000,-1.099099191,1,-0.011326697,-0.011326697,1.2370586345,-1.087772494
0.3,1.6788602574,2000,-1.435959347,1,-0.011326697,-0.011326697,1.6901869545,-1.42463265
0.2,1.7966504187,2000,-1.554894536,1,-0.011326697,-0.011326697,1.8079771158,-1.543567839
0.1,1.9497148785,2000,-1.703844225,1,-0.011326697,-0.011326697,1.9610415757,-1.692517528
