p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
0.2,2000,1.2351932863,OK,OPTIMAL,-1.237303419,OK,OPTIMAL,7,1
0.1,2000,1.566517803,OK,OPTIMAL,-1.552749468,OK,OPTIMAL,7,1
1,2000,0.003109411,OK,BEST_FE,0.003109411,OK,OPTIMAL,8,1
0.9,2000,0.1755713058,OK,OPTIMAL,-0.166412984,OK,OPTIMAL,8,1
0.8,2000,0.3132916901,OK,OPTIMAL,-0.302495326,OK,OPTIMAL,8,1
0.7,2000,0.4430339869,OK,OPTIMAL,-0.431615317,OK,OPTIMAL,8,1
0.6,2000,0.5744019172,OK,OPTIMAL,-0.562827319,OK,OPTIMAL,8,1
0.5,2000,0.7083109344,OK,OPTIMAL,-0.702096139,OK,OPTIMAL,8,1
0.4,2000,0.8548956129,OK,OPTIMAL,-0.856719652,OK,OPTIMAL,8,1
0.3,2000,1.0251794656,OK,OPTIMAL,-1.031128407,OK,OPTIMAL,8,1
0.2,2000,1.24294009,OK,OPTIMAL,-1.25498328,OK,OPTIMAL,8,1
0.1,2000,1.5751374955,OK,OPTIMAL,-1.595758979,OK,OPTIMAL,8,1
1,2000,-0.025113898,OK,BEST_FE,-0.025113898,OK,BEST_FE,9,1
0.9,2000,0.1397399925,OK,OPTIMAL,-0.188640929,OK,OPTIMAL,9,1
0.8,2000,0.2719986322,OK,OPTIMAL,-0.32176839,OK,OPTIMAL,9,1
0.7,2000,0.3978600275,OK,OPTIMAL,-0.448234295,OK,OPTIMAL,9,1
0.6,2000,0.5256564001,OK,OPTIMAL,-0.575805656,OK,OPTIMAL,9,1
0.5,2000,0.6587458377,OK,OPTIMAL,-0.708788125,OK,OPTIMAL,9,1
0.4,2000,0.8038105601,OK,OPTIMAL,-0.854143228,OK,OPTIMAL,9,1
0.3,2000,0.9698888768,OK,OPTIMAL,-1.019780222,OK,OPTIMAL,9,1
0.2,2000,1.1789105027,OK,OPTIMAL,-1.230996806,OK,OPTIMAL,9,1
0.1,2000,1.4932315813,OK,OPTIMAL,-1.555299394,OK,OPTIMAL,9,1
1,2000,-0.003793176,OK,BEST_FE,-0.003793176,OK,BEST_FE,10,1
