p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.023098891,2000,-0.023098891,1,-0.023098891,-0.023098891,0,0
0.9,0.1427157864,2000,-0.186165238,1,-0.023098891,-0.023098891,0.1658146777,-0.163066347
0.8,0.2784475015,2000,-0.370965122,1,-0.023098891,-0.023098891,0.3015463928,-0.347866231
0.7,0.4611658422,2000,-0.49921141,1,-0.023098891,-0.023098891,0.4842647335,-0.476112519
0.6,0.5901788065,2000,-0.629753493,1,-0.023098891,-0.023098891,0.6132776978,-0.606654602
0.5,0.7209244751,2000,-0.766431955,1,-0.023098891,-0.023098891,0.7440233664,-0.743333064
0.4,1.0917707032,2000,-1.287233465,1,-0.023098891,-0.023098891,1.1148695945,-1.264134574
0.3,1.4624649305,2000,-1.5187027,1,-0.023098891,-0.023098891,1.4855638218,-1.495603808
0.2,1.6152297748,2000,-1.681852935,1,-0.023098891,-0.023098891,1.6383286661,-1.658754044
0.1,1.9194447388,2000,-1.984072441,1,-0.023098891,-0.023098891,1.9425436301,-1.96097355
