p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.016296798,2000,-0.016296798,1,-0.016296798,-0.016296798,0,0
0.9,0.140494696,2000,-0.174502642,1,-0.016296798,-0.016296798,0.1567914938,-0.158205845
0.8,0.2722554442,2000,-0.307325157,1,-0.016296798,-0.016296798,0.288552242,-0.291028359
0.7,0.3970743478,2000,-0.433536213,1,-0.016296798,-0.016296798,0.4133711456,-0.417239415
0.6,0.5235155199,2000,-0.55946797,1,-0.016296798,-0.016296798,0.5398123177,-0.543171172
0.5,0.6578535195,2000,-0.690449803,1,-0.016296798,-0.016296798,0.6741503173,-0.674153005
0.4,0.8013589295,2000,-0.828902522,1,-0.016296798,-0.016296798,0.8176557273,-0.812605724
0.3,0.9651662047,2000,-0.988565337,1,-0.016296798,-0.016296798,0.9814630025,-0.972268539
0.2,1.1652718069,2000,-1.187933122,1,-0.016296798,-0.016296798,1.1815686047,-1.171636324
0.1,2.512211042,2000,-1.474138653,1,-0.016296798,-0.016296798,2.5285078397,-1.457841856
1,-0.008212714,2000,-0.008212714,2,-0.008212714,-0.008212714,0,0
0.9,0.1635140677,2000,-0.175393917,2,-0.008212714,-0.008212714,0.1717267818,-0.167181203
0.8,0.3036881353,2000,-0.311205155,2,-0.008212714,-0.008212714,0.3119008495,-0.302992441
0.7,0.4324580068,2000,-0.438799045,2,-0.008212714,-0.008212714,0.440670721,-0.430586331
0.6,0.5597403921,2000,-0.568053103,2,-0.008212714,-0.008212714,0.5679531063,-0.559840389
0.5,0.6905077517,2000,-0.706930705,2,-0.008212714,-0.008212714,0.6987204658,-0.698717991
0.4,0.8344264638,2000,-0.863045472,2,-0.008212714,-0.008212714,0.8426391779,-0.854832757
0.3,1.004216535,2000,-1.055054289,2,-0.008212714,-0.008212714,1.0124292492,-1.046841575
0.2,1.22123068,2000,-1.27328092,2,-0.008212714,-0.008212714,1.2294433942,-1.265068206
0.1,1.543248859,2000,-1.600401427,2,-0.008212714,-0.008212714,1.5514615732,-1.592188713
1,-0.003731523,2000,-0.003731523,3,-0.003731523,-0.003731523,0,0
0.9,0.1634538286,2000,-0.163934201,3,-0.003731523,-0.003731523,0.1671853518,-0.160202678
0.8,0.3043413127,2000,-0.297924753,3,-0.003731523,-0.003731523,0.3080728359,-0.29419323
0.7,0.4335651783,2000,-0.427494439,3,-0.003731523,-0.003731523,0.4372967015,-0.423762915
0.6,0.5578554945,2000,-0.556826581,3,-0.003731523,-0.003731523,0.5615870177,-0.553095058
0.5,0.6878422927,2000,-0.695303424,3,-0.003731523,-0.003731523,0.6915738159,-0.6915719
0.4,0.828795982,2000,-0.849007429,3,-0.003731523,-0.003731523,0.8325275052,-0.845275906
0.3,0.9927911354,2000,-1.031845311,3,-0.003731523,-0.003731523,0.9965226586,-1.028113788
0.2,1.1904776771,2000,-1.253517547,3,-0.003731523,-0.003731523,1.1942092003,-1.249786024
0.1,1.4847972213,2000,-1.630683842,3,-0.003731523,-0.003731523,1.4885287445,-1.626952319
1,0.0001968187,2000,0.0001968187,4,0.0001968187,0.0001968187,0,0
0.9,0.164024614,2000,-0.157631563,4,0.0001968187,0.0001968187,0.1638277953,-0.157828381
0.8,0.2968553141,2000,-0.288677122,4,0.0001968187,0.0001968187,0.2966584954,-0.288873941
0.7,0.4205836428,2000,-0.414018707,4,0.0001968187,0.0001968187,0.4203868241,-0.414215525
0.6,0.5450471106,2000,-0.542213334,4,0.0001968187,0.0001968187,0.5448502919,-0.542410152
0.5,0.6750551195,2000,-0.67466105,4,0.0001968187,0.0001968187,0.6748583008,-0.674857869
0.4,0.81669867,2000,-0.819966831,4,0.0001968187,0.0001968187,0.8165018513,-0.820163649
0.3,0.9745965176,2000,-0.988683707,4,0.0001968187,0.0001968187,0.974399699,-0.988880526
0.2,1.1731177494,2000,-1.203891976,4,0.0001968187,0.0001968187,1.1729209307,-1.204088795
0.1,1.4673869076,2000,-1.520791053,4,0.0001968187,0.0001968187,1.4671900889,-1.520987871
1,0.0152090171,2000,0.0152090171,5,0.0152090171,0.0152090171,0,0
0.9,0.182427888,2000,-0.150184375,5,0.0152090171,0.0152090171,0.1672188708,-0.165393392
0.8,0.3228499808,2000,-0.289939535,5,0.0152090171,0.0152090171,0.3076409636,-0.305148552
0.7,0.4557936264,2000,-0.424786266,5,0.0152090171,0.0152090171,0.4405846093,-0.439995283
0.6,0.5895109534,2000,-0.560217544,5,0.0152090171,0.0152090171,0.5743019363,-0.575426561
0.5,0.7286712873,2000,-0.698255107,5,0.0152090171,0.0152090171,0.7134622702,-0.713464124
0.4,0.8812605284,2000,-0.849140438,5,0.0152090171,0.0152090171,0.8660515113,-0.864349455
0.3,1.0497513643,2000,-1.02055596,5,0.0152090171,0.0152090171,1.0345423472,-1.035764977
0.2,1.2533070307,2000,-1.232860062,5,0.0152090171,0.0152090171,1.2380980135,-1.248069079
0.1,2.4241251127,2000,-2.434400706,5,0.0152090171,0.0152090171,2.4089160956,-2.449609723
1,0.017342243,2000,0.017342243,6,0.017342243,0.017342243,0,0
0.9,0.1802507133,2000,-0.145552037,6,0.017342243,0.017342243,0.1629084702,-0.16289428
0.8,0.3158603259,2000,-0.279384183,6,0.017342243,0.017342243,0.2985180829,-0.296726426
0.7,0.443444557,2000,-0.40643524,6,0.017342243,0.017342243,0.426102314,-0.423777483
0.6,0.571796512,2000,-0.536191526,6,0.017342243,0.017342243,0.554454269,-0.553533769
0.5,0.7059376153,2000,-0.671252613,6,0.017342243,0.017342243,0.6885953722,-0.688594856
0.4,0.850536599,2000,-0.817218167,6,0.017342243,0.017342243,0.833194356,-0.83456041
0.3,1.0140727233,2000,-0.984648137,6,0.017342243,0.017342243,0.9967304802,-1.00199038
0.2,1.2217004409,2000,-1.194180769,6,0.017342243,0.017342243,1.2043581979,-1.211523012
0.1,1.5298787942,2000,-1.979678641,6,0.017342243,0.017342243,1.5125365512,-1.997020884
1,0.0078904809,2000,0.0078904809,7,0.0078904809,0.0078904809,0,0
0.9,0.1715127297,2000,-0.155713971,7,0.0078904809,0.0078904809,0.1636222488,-0.163604452
0.8,0.3075998805,2000,-0.29049663,7,0.0078904809,0.0078904809,0.2997093996,-0.298387111
0.7,0.4398593404,2000,-0.418974352,7,0.0078904809,0.0078904809,0.4319688595,-0.426864832
0.6,0.5699866134,2000,-0.549404579,7,0.0078904809,0.0078904809,0.5620961325,-0.55729506
0.5,0.7036295786,2000,-0.687846123,7,0.0078904809,0.0078904809,0.6957390978,-0.695736604
0.4,0.8467182748,2000,-0.838137104,7,0.0078904809,0.0078904809,0.8388277939,-0.846027585
0.3,1.0117951981,2000,-1.007803114,7,0.0078904809,0.0078904809,1.0039047172,-1.015693595
0.2,1.2188586867,2000,-1.208378779,7,0.0078904809,0.0078904809,1.2109682059,-1.21626926
0.1,1.5269757256,2000,-1.511633732,7,0.0078904809,0.0078904809,1.5190852447,-1.519524213
1,-0.014755119,2000,-0.014755119,8,-0.014755119,-0.014755119,0,0
0.9,0.146092886,2000,-0.177624591,8,-0.014755119,-0.014755119,0.1608480046,-0.162869473
0.8,0.2754281398,2000,-0.310819765,8,-0.014755119,-0.014755119,0.2901832584,-0.296064647
0.7,0.4021665017,2000,-0.437141897,8,-0.014755119,-0.014755119,0.4169216203,-0.422386778
0.6,0.5315312239,2000,-0.564437138,8,-0.014755119,-0.014755119,0.5462863425,-0.549682019
0.5,0.6659710051,2000,-0.695483531,8,-0.014755119,-0.014755119,0.6807261237,-0.680728412
0.4,0.8126702508,2000,-0.837080912,8,-0.014755119,-0.014755119,0.8274253694,-0.822325794
0.3,0.9786835797,2000,-0.995412006,8,-0.014755119,-0.014755119,0.9934386983,-0.980656887
0.2,1.1869623644,2000,-1.192918688,8,-0.014755119,-0.014755119,1.201717483,-1.17816357
0.1,2.5483520127,2000,-1.508947155,8,-0.014755119,-0.014755119,2.5631071313,-1.494192036
1,0.0039460619,2000,0.0039460619,9,0.0039460619,0.0039460619,0,0
0.9,0.1659830899,2000,-0.16122372,9,0.0039460619,0.0039460619,0.162037028,-0.165169782
0.8,0.3037934047,2000,-0.297352209,9,0.0039460619,0.0039460619,0.2998473428,-0.30129827
0.7,0.4341892763,2000,-0.426869064,9,0.0039460619,0.0039460619,0.4302432144,-0.430815126
0.6,0.5627675646,2000,-0.555056747,9,0.0039460619,0.0039460619,0.5588215026,-0.559002809
0.5,0.6973854801,2000,-0.689493811,9,0.0039460619,0.0039460619,0.6934394182,-0.693439873
0.4,0.845338162,2000,-0.837193219,9,0.0039460619,0.0039460619,0.8413921001,-0.841139281
0.3,1.0169377348,2000,-1.00770167,9,0.0039460619,0.0039460619,1.0129916729,-1.011647732
0.2,1.2266398889,2000,-1.212849451,9,0.0039460619,0.0039460619,1.222693827,-1.216795513
0.1,1.5371373599,2000,-1.501090773,9,0.0039460619,0.0039460619,1.533191298,-1.505036835
1,-0.027800944,2000,-0.027800944,10,-0.027800944,-0.027800944,0,0
0.9,0.1359223857,2000,-0.183765176,10,-0.027800944,-0.027800944,0.16372333,-0.155964232
0.8,0.2676294078,2000,-0.314405811,10,-0.027800944,-0.027800944,0.2954303521,-0.286604867
0.7,0.3919333429,2000,-0.438330463,10,-0.027800944,-0.027800944,0.4197342872,-0.410529518
0.6,0.5149714355,2000,-0.565255192,10,-0.027800944,-0.027800944,0.5427723798,-0.537454248
0.5,0.642501425,2000,-0.698100805,10,-0.027800944,-0.027800944,0.6703023693,-0.670299861
0.4,0.7812568724,2000,-0.844856485,10,-0.027800944,-0.027800944,0.8090578167,-0.817055541
0.3,0.9379750557,2000,-1.01492411,10,-0.027800944,-0.027800944,0.965776,-0.987123166
0.2,1.1360292261,2000,-1.226968256,10,-0.027800944,-0.027800944,1.1638301704,-1.199167311
0.1,1.4225640967,2000,-2.20015598,10,-0.027800944,-0.027800944,1.450365041,-2.172355035
