p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
0.5,0.7575979572,2000,-0.696899423,6,-0.001508454,-0.001508454,0.7591064117,-0.695390968
0.4,1.2228967485,2000,-0.829094396,6,-0.001508454,-0.001508454,1.2244052029,-0.827585942
0.3,1.6265787743,2000,-1.82192231,6,-0.001508454,-0.001508454,1.6280872288,-1.820413855
0.2,1.7460588575,2000,-1.936582897,6,-0.001508454,-0.001508454,1.747567312,-1.935074443
0.1,2.2080163556,2000,-2.483065678,6,-0.001508454,-0.001508454,2.20952481,-2.481557224
1,-0.008480137,2000,-0.008480137,7,-0.008480137,-0.008480137,0,0
0.9,0.2695882498,2000,-0.293842609,7,-0.008480137,-0.008480137,0.2780683864,-0.285362473
0.8,0.4101063868,2000,-0.435303772,7,-0.008480137,-0.008480137,0.4185865235,-0.426823636
0.7,0.537210295,2000,-0.556834408,7,-0.008480137,-0.008480137,0.5456904317,-0.548354272
0.6,0.5682331037,2000,-0.582785887,7,-0.008480137,-0.008480137,0.5767132404,-0.57430575
0.5,0.690542515,2000,-0.706723609,7,-0.008480137,-0.008480137,0.6990226516,-0.698243472
0.4,0.9088901142,2000,-0.845150961,7,-0.008480137,-0.008480137,0.9173702509,-0.836670825
0.3,1.0575605643,2000,-1.000601995,7,-0.008480137,-0.008480137,1.0660407009,-0.992121858
0.2,1.8148426132,2000,-1.185653544,7,-0.008480137,-0.008480137,1.8233227499,-1.177173407
0.1,1.4466783643,2000,-1.84392217,7,-0.008480137,-0.008480137,1.455158501,-1.835442033
1,0.0135730787,2000,0.0135730787,8,0.0135730787,0.0135730787,0,0
0.9,0.3174283929,2000,-0.276831155,8,0.0135730787,0.0135730787,0.3038553142,-0.290404234
0.8,0.4540768212,2000,-0.415574345,8,0.0135730787,0.0135730787,0.4405037425,-0.429147423
0.7,0.4939096021,2000,-0.539834763,8,0.0135730787,0.0135730787,0.4803365234,-0.553407842
0.6,0.6144993267,2000,-0.668362808,8,0.0135730787,0.0135730787,0.6009262479,-0.681935887
0.5,0.7373724373,2000,-0.779167792,8,0.0135730787,0.0135730787,0.7237993586,-0.792740871
0.4,0.870631352,2000,-1.029417495,8,0.0135730787,0.0135730787,0.8570582733,-1.042990574
0.3,1.0251537451,2000,-1.174670067,8,0.0135730787,0.0135730787,1.0115806663,-1.188243146
0.2,1.2032387936,2000,-2.088249279,8,0.0135730787,0.0135730787,1.1896657149,-2.101822357
0.1,2.2607291109,2000,-2.239745302,8,0.0135730787,0.0135730787,2.2471560322,-2.25331838
1,-0.001825634,2000,-0.001825634,9,-0.001825634,-0.001825634,0,0
0.9,0.3293474496,2000,-0.294622558,9,-0.001825634,-0.001825634,0.3311730839,-0.292796924
0.8,0.4719173484,2000,-0.438582975,9,-0.001825634,-0.001825634,0.4737429827,-0.436757341
0.7,0.5161000845,2000,-0.567542753,9,-0.001825634,-0.001825634,0.5179257189,-0.565717119
0.6,0.6392736593,2000,-0.696470155,9,-0.001825634,-0.001825634,0.6410992936,-0.694644521
0.5,0.7621300017,2000,-0.931519527,9,-0.001825634,-0.001825634,0.7639556361,-0.929693893
0.4,0.9008272907,2000,-1.06860323,9,-0.001825634,-0.001825634,0.902652925,-1.066777596
0.3,1.0564223354,2000,-1.993983968,9,-0.001825634,-0.001825634,1.0582479698,-1.992158333
0.2,1.2417536047,2000,-2.120899127,9,-0.001825634,-0.001825634,1.243579239,-2.119073493
0.1,2.5415981954,2000,-2.685132004,9,-0.001825634,-0.001825634,2.5434238297,-2.68330637
1,0.0075317599,2000,0.0075317599,10,0.0075317599,0.0075317599,0,0
0.9,0.2739104917,2000,-0.277431449,10,0.0075317599,0.0075317599,0.2663787318,-0.284963209
0.8,0.4093724433,2000,-0.414766216,10,0.0075317599,0.0075317599,0.4018406834,-0.422297976
0.7,0.5301615565,2000,-0.538220334,10,0.0075317599,0.0075317599,0.5226297966,-0.545752094
0.6,0.5523985215,2000,-0.562299566,10,0.0075317599,0.0075317599,0.5448667616,-0.569831325
0.5,0.7505867446,2000,-0.678504488,10,0.0075317599,0.0075317599,0.7430549847,-0.686036248
0.4,1.2205419257,2000,-0.809905253,10,0.0075317599,0.0075317599,1.2130101658,-0.817437013
0.3,1.5666492162,2000,-1.056247486,10,0.0075317599,0.0075317599,1.5591174563,-1.063779246
0.2,1.6868860053,2000,-1.856848019,10,0.0075317599,0.0075317599,1.6793542454,-1.864379778
0.1,1.8393677097,2000,-2.367175754,10,0.0075317599,0.0075317599,1.8318359498,-2.374707514
