p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.042626373,2000,-0.042626373,1,-0.042626373,-0.042626373,0,0
0.9,0.2319048846,2000,-0.202300584,1,-0.042626373,-0.042626373,0.2745312572,-0.159674211
0.8,0.3671525541,2000,-0.44512399,1,-0.042626373,-0.042626373,0.4097789267,-0.402497618
0.7,0.4865012841,2000,-0.565775503,1,-0.042626373,-0.042626373,0.5291276567,-0.52314913
0.6,0.5085561312,2000,-0.584252016,1,-0.042626373,-0.042626373,0.5511825037,-0.541625643
0.5,0.7154785542,2000,-0.776719591,1,-0.042626373,-0.042626373,0.7581049268,-0.734093218
0.4,1.1678655829,2000,-0.915655563,1,-0.042626373,-0.042626373,1.2104919555,-0.873029191
0.3,1.5992377272,2000,-1.68974966,1,-0.042626373,-0.042626373,1.6418640998,-1.647123288
0.2,1.7175100541,2000,-1.806295712,1,-0.042626373,-0.042626373,1.7601364267,-1.763669339
0.1,1.8706348844,2000,-1.95264206,1,-0.042626373,-0.042626373,1.913261257,-1.910015687
1,-0.032176902,2000,-0.032176902,2,-0.032176902,-0.032176902,0,0
0.9,0.2543373604,2000,-0.304855902,2,-0.032176902,-0.032176902,0.2865142628,-0.272678999
0.8,0.3901789707,2000,-0.44162903,2,-0.032176902,-0.032176902,0.4223558731,-0.409452128
0.7,0.5127605235,2000,-0.563574737,2,-0.032176902,-0.032176902,0.5449374259,-0.531397834
0.6,0.5442009694,2000,-0.685732767,2,-0.032176902,-0.032176902,0.5763778718,-0.653555865
0.5,0.6622419779,2000,-0.902186384,2,-0.032176902,-0.032176902,0.6944188803,-0.870009481
0.4,0.7912583211,2000,-1.457433224,2,-0.032176902,-0.032176902,0.8234352235,-1.425256321
0.3,0.9388510553,2000,-1.854107787,2,-0.032176902,-0.032176902,0.9710279577,-1.821930885
0.2,1.1273159108,2000,-1.973888914,2,-0.032176902,-0.032176902,1.1594928132,-1.941712012
0.1,1.4961978082,2000,-1.625551803,2,-0.032176902,-0.032176902,1.5283747106,-1.593374901
1,-0.002150409,2000,-0.002150409,3,-0.002150409,-0.002150409,0,0
0.9,0.28780083,2000,-0.263146773,3,-0.002150409,-0.002150409,0.289951239,-0.260996364
0.8,0.4231243828,2000,-0.397817095,3,-0.002150409,-0.002150409,0.4252747918,-0.395666686
0.7,0.5436194151,2000,-0.520548551,3,-0.002150409,-0.002150409,0.5457698241,-0.518398142
0.6,0.5780799149,2000,-0.641606751,3,-0.002150409,-0.002150409,0.5802303239,-0.639456342
0.5,0.6931497252,2000,-0.753125288,3,-0.002150409,-0.002150409,0.6953001342,-0.750974879
0.4,0.8262456337,2000,-0.981220643,3,-0.002150409,-0.002150409,0.8283960427,-0.979070234
0.3,0.9674924852,2000,-1.124847095,3,-0.002150409,-0.002150409,0.9696428943,-1.122696686
0.2,1.1494027017,2000,-1.304435908,3,-0.002150409,-0.002150409,1.1515531107,-1.302285499
0.1,2.0981346172,2000,-2.048095665,3,-0.002150409,-0.002150409,2.1002850262,-2.045945256
1,-0.033128332,2000,-0.033128332,4,-0.033128332,-0.033128332,0,0
0.9,0.2646751336,2000,-0.266071029,4,-0.033128332,-0.033128332,0.2978034657,-0.232942697
0.8,0.4017224965,2000,-0.401682635,4,-0.033128332,-0.033128332,0.4348508287,-0.368554302
0.7,0.5224222584,2000,-0.520362939,4,-0.033128332,-0.033128332,0.5555505906,-0.487234607
0.6,0.5527570354,2000,-0.51192825,4,-0.033128332,-0.033128332,0.5858853676,-0.478799918
0.5,0.6683062681,2000,-0.63164194,4,-0.033128332,-0.033128332,0.7014346002,-0.598513608
0.4,0.9176919475,2000,-0.773649134,4,-0.033128332,-0.033128332,0.9508202797,-0.740520802
0.3,0.9416511563,2000,-0.930035629,4,-0.033128332,-0.033128332,0.9747794884,-0.896907296
0.2,1.2451295285,2000,-1.179079636,4,-0.033128332,-0.033128332,1.2782578607,-1.145951304
0.1,2.2106856673,2000,-1.316024144,4,-0.033128332,-0.033128332,2.2438139995,-1.282895812
1,-0.001261032,2000,-0.001261032,5,-0.001261032,-0.001261032,0,0
0.9,0.2620928565,2000,-0.164673768,5,-0.001261032,-0.001261032,0.2633538885,-0.163412736
0.8,0.3971532852,2000,-0.407796476,5,-0.001261032,-0.001261032,0.3984143172,-0.406535444
