p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.0134017,2000,-0.0134017,1,-0.0134017,-0.0134017,0,0
0.9,0.1419553003,2000,-0.16431653,1,-0.0134017,-0.0134017,0.1553570001,-0.150914831
0.8,0.269705273,2000,-0.288648274,1,-0.0134017,-0.0134017,0.2831069727,-0.275246574
0.7,0.3904286247,2000,-0.409274047,1,-0.0134017,-0.0134017,0.4038303245,-0.395872347
0.6,0.5107362192,2000,-0.531172676,1,-0.0134017,-0.0134017,0.5241379189,-0.517770976
0.5,0.6335368911,2000,-0.660334866,1,-0.0134017,-0.0134017,0.6469385908,-0.646933166
0.4,0.7661331424,2000,-0.802501585,1,-0.0134017,-0.0134017,0.7795348422,-0.789099885
0.3,0.9182183306,2000,-0.963371201,1,-0.0134017,-0.0134017,0.9316200304,-0.949969501
0.2,1.1049285032,2000,-1.163263988,1,-0.0134017,-0.0134017,1.1183302029,-1.149862289
0.1,1.3910702967,2000,-1.458152784,1,-0.0134017,-0.0134017,1.4044719965,-1.444751084
