p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.006897359,2000,-0.006897359,1,-0.006897359,-0.006897359,0,0
0.9,0.1528300295,2000,-0.163113818,1,-0.006897359,-0.006897359,0.1597273884,-0.156216459
0.8,0.2838052703,2000,-0.293222086,1,-0.006897359,-0.006897359,0.2907026292,-0.286324727
0.7,0.4080496213,2000,-0.416312261,1,-0.006897359,-0.006897359,0.4149469802,-0.409414902
0.6,0.5313219646,2000,-0.541241121,1,-0.006897359,-0.006897359,0.5382193235,-0.534343762
0.5,0.6579863785,2000,-0.67182281,1,-0.006897359,-0.006897359,0.6648837374,-0.664925451
0.4,0.7974970562,2000,-0.817126721,1,-0.006897359,-0.006897359,0.8043944152,-0.810229362
0.3,0.9561132331,2000,-0.982858159,1,-0.006897359,-0.006897359,0.963010592,-0.9759608
0.2,1.155799371,2000,-1.187185608,1,-0.006897359,-0.006897359,1.16269673,-1.180288249
0.1,1.4456030011,2000,-1.491033176,1,-0.006897359,-0.006897359,1.45250036,-1.484135817
