p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,0.0382255938,2000,0.0382255938,1,0.0382255938,0.0382255938,0,0
0.9,0.2000101476,2000,-0.1272087,1,0.0382255938,0.0382255938,0.1617845538,-0.165434293
0.8,0.3347352204,2000,-0.259839047,1,0.0382255938,0.0382255938,0.2965096266,-0.29806464
0.7,0.4650161533,2000,-0.386895321,1,0.0382255938,0.0382255938,0.4267905595,-0.425120914
0.6,0.595170339,2000,-0.517565948,1,0.0382255938,0.0382255938,0.5569447453,-0.555791541
0.5,0.7293568559,2000,-0.652938418,1,0.0382255938,0.0382255938,0.6911312622,-0.691164012
0.4,0.8748025287,2000,-0.800084773,1,0.0382255938,0.0382255938,0.836576935,-0.838310367
0.3,1.037911437,2000,-0.965484691,1,0.0382255938,0.0382255938,0.9996858432,-1.003710284
0.2,1.2478838129,2000,-1.16525732,1,0.0382255938,0.0382255938,1.2096582191,-1.203482914
0.1,1.5736225566,2000,-1.464522069,1,0.0382255938,0.0382255938,1.5353969628,-1.502747663
1,0.0392683387,2000,0.0392683387,2,0.0392683387,0.0392683387,0,0
0.9,0.2041064771,2000,-0.121028447,2,0.0392683387,0.0392683387,0.1648381384,-0.160296785
0.8,0.3366904667,2000,-0.253899064,2,0.0392683387,0.0392683387,0.2974221279,-0.293167403
0.7,0.4630907435,2000,-0.379762288,2,0.0392683387,0.0392683387,0.4238224048,-0.419030627
0.6,0.5878353154,2000,-0.507450688,2,0.0392683387,0.0392683387,0.5485669767,-0.546719027
0.5,0.7176140065,2000,-0.63906802,2,0.0392683387,0.0392683387,0.6783456677,-0.678336359
0.4,0.8622440687,2000,-0.786473189,2,0.0392683387,0.0392683387,0.8229757299,-0.825741528
0.3,1.024975143,2000,-0.957551868,2,0.0392683387,0.0392683387,0.9857068042,-0.996820207
0.2,1.2293978025,2000,-1.167848217,2,0.0392683387,0.0392683387,1.1901294638,-1.207116556
0.1,1.5285821758,2000,-1.490944355,2,0.0392683387,0.0392683387,1.4893138371,-1.530212693
1,0.0101209942,2000,0.0101209942,3,0.0101209942,0.0101209942,0,0
0.9,0.1745021613,2000,-0.152718364,3,0.0101209942,0.0101209942,0.1643811671,-0.162839358
0.8,0.3092495787,2000,-0.287878528,3,0.0101209942,0.0101209942,0.2991285846,-0.297999522
0.7,0.4357374434,2000,-0.416899281,3,0.0101209942,0.0101209942,0.4256164493,-0.427020276
0.6,0.5634382461,2000,-0.543750637,3,0.0101209942,0.0101209942,0.5533172519,-0.553871631
0.5,0.6962301501,2000,-0.676015965,3,0.0101209942,0.0101209942,0.6861091559,-0.686136959
0.4,0.8438273332,2000,-0.822740842,3,0.0101209942,0.0101209942,0.8337063391,-0.832861836
0.3,1.014246749,2000,-0.990914107,3,0.0101209942,0.0101209942,1.0041257548,-1.001035101
0.2,1.2195492156,2000,-1.203887746,3,0.0101209942,0.0101209942,1.2094282214,-1.21400874
0.1,1.522306196,2000,-1.516030723,3,0.0101209942,0.0101209942,1.5121852019,-1.526151717
1,-0.006734077,2000,-0.006734077,4,-0.006734077,-0.006734077,0,0
0.9,0.1593143232,2000,-0.173616435,4,-0.006734077,-0.006734077,0.1660483997,-0.166882358
0.8,0.2956400669,2000,-0.310162242,4,-0.006734077,-0.006734077,0.3023741434,-0.303428166
0.7,0.4223201576,2000,-0.438279794,4,-0.006734077,-0.006734077,0.4290542342,-0.431545718
0.6,0.5490597661,2000,-0.56592296,4,-0.006734077,-0.006734077,0.5557938426,-0.559188883
0.5,0.6849706622,2000,-0.698394336,4,-0.006734077,-0.006734077,0.6917047388,-0.691660259
0.4,0.8349423523,2000,-0.843303672,4,-0.006734077,-0.006734077,0.8416764289,-0.836569595
0.3,1.0079409578,2000,-1.015594929,4,-0.006734077,-0.006734077,1.0146750344,-1.008860853
0.2,1.2244680919,2000,-1.233720026,4,-0.006734077,-0.006734077,1.2312021684,-1.22698595
0.1,1.5419321708,2000,-1.547842069,4,-0.006734077,-0.006734077,1.5486662473,-1.541107993
1,0.0049715235,2000,0.0049715235,5,0.0049715235,0.0049715235,0,0
0.9,0.166761345,2000,-0.158137429,5,0.0049715235,0.0049715235,0.1617898216,-0.163108953
0.8,0.2989939716,2000,-0.293497998,5,0.0049715235,0.0049715235,0.2940224481,-0.298469521
0.7,0.4261638824,2000,-0.42173829,5,0.0049715235,0.0049715235,0.4211923589,-0.426709813
0.6,0.5537458434,2000,-0.548008812,5,0.0049715235,0.0049715235,0.5487743199,-0.552980335
0.5,0.6867856065,2000,-0.676765607,5,0.0049715235,0.0049715235,0.681814083,-0.68173713
0.4,0.8373442809,2000,-0.821082352,5,0.0049715235,0.0049715235,0.8323727574,-0.826053875
0.3,1.0085599117,2000,-0.985534601,5,0.0049715235,0.0049715235,1.0035883882,-0.990506125
0.2,1.2162455386,2000,-1.18852346,5,0.0049715235,0.0049715235,1.2112740152,-1.193494983
0.1,1.5195837366,2000,-1.497683896,5,0.0049715235,0.0049715235,1.5146122131,-1.502655419
1,0.0164317565,2000,0.0164317565,6,0.0164317565,0.0164317565,0,0
0.9,0.1834495559,2000,-0.138138877,6,0.0164317565,0.0164317565,0.1670177994,-0.154570633
0.8,0.3203792069,2000,-0.27013425,6,0.0164317565,0.0164317565,0.3039474504,-0.286566007
