p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.027435077,2000,-0.027435077,1,-0.027435077,-0.027435077,0,0
0.9,0.1285785377,2000,-0.178475548,1,-0.027435077,-0.027435077,0.1560136143,-0.151040471
0.8,0.2555100889,2000,-0.306617881,1,-0.027435077,-0.027435077,0.2829451656,-0.279182804
0.7,0.3742604738,2000,-0.427119767,1,-0.027435077,-0.027435077,0.4016955505,-0.39968469
0.6,0.4932336824,2000,-0.547618673,1,-0.027435077,-0.027435077,0.520668759,-0.520183596
0.5,0.6181699763,2000,-0.672926789,1,-0.027435077,-0.027435077,0.645605053,-0.645491712
0.4,0.7557332229,2000,-0.811317937,1,-0.027435077,-0.027435077,0.7831682995,-0.78388286
0.3,0.9128606117,2000,-0.972504089,1,-0.027435077,-0.027435077,0.9402956883,-0.945069012
0.2,1.1066962261,2000,-1.176624895,1,-0.027435077,-0.027435077,1.1341313027,-1.149189818
0.1,1.3782296334,2000,-1.478082845,1,-0.027435077,-0.027435077,1.40566471,-1.450647768
1,-0.010995697,2000,-0.010995697,2,-0.010995697,-0.010995697,0,0
0.9,0.1440787778,2000,-0.166250573,2,-0.010995697,-0.010995697,0.155074475,-0.155254876
0.8,0.2762915023,2000,-0.294450492,2,-0.010995697,-0.010995697,0.2872871995,-0.283454795
0.7,0.3991580023,2000,-0.417363136,2,-0.010995697,-0.010995697,0.4101536995,-0.406367439
0.6,0.5220438298,2000,-0.540856891,2,-0.010995697,-0.010995697,0.533039527,-0.529861193
0.5,0.6499352486,2000,-0.671892898,2,-0.010995697,-0.010995697,0.6609309458,-0.660897201
0.4,0.7866507033,2000,-0.813433535,2,-0.010995697,-0.010995697,0.7976464005,-0.802437838
0.3,0.9448962123,2000,-0.97573907,2,-0.010995697,-0.010995697,0.9558919095,-0.964743373
0.2,1.1402114996,2000,-1.177626204,2,-0.010995697,-0.010995697,1.1512071968,-1.166630506
0.1,1.4327076078,2000,-1.453123577,2,-0.010995697,-0.010995697,1.443703305,-1.44212788
1,0.0069542904,2000,0.0069542904,3,0.0069542904,0.0069542904,0,0
0.9,0.1617794272,2000,-0.146177781,3,0.0069542904,0.0069542904,0.1548251368,-0.153132072
0.8,0.2919431154,2000,-0.274661104,3,0.0069542904,0.0069542904,0.284988825,-0.281615395
0.7,0.4151659027,2000,-0.395912007,3,0.0069542904,0.0069542904,0.4082116123,-0.402866298
0.6,0.5351370993,2000,-0.517500137,3,0.0069542904,0.0069542904,0.5281828089,-0.524454428
0.5,0.6597777333,2000,-0.645847345,3,0.0069542904,0.0069542904,0.6528234429,-0.652801636
0.4,0.7965061423,2000,-0.788212509,3,0.0069542904,0.0069542904,0.7895518519,-0.795166799
0.3,0.9546833479,2000,-0.953282602,3,0.0069542904,0.0069542904,0.9477290575,-0.960236892
0.2,1.1508409537,2000,-1.150435611,3,0.0069542904,0.0069542904,1.1438866632,-1.157389901
0.1,1.4315921466,2000,-1.432958359,3,0.0069542904,0.0069542904,1.4246378562,-1.439912649
1,0.0186367571,2000,0.0186367571,4,0.0186367571,0.0186367571,0,0
0.9,0.171154057,2000,-0.136205905,4,0.0186367571,0.0186367571,0.1525172998,-0.154842662
0.8,0.2993662712,2000,-0.263062888,4,0.0186367571,0.0186367571,0.280729514,-0.281699645
0.7,0.423006845,2000,-0.387744073,4,0.0186367571,0.0186367571,0.4043700879,-0.40638083
0.6,0.5479827861,2000,-0.512103318,4,0.0186367571,0.0186367571,0.529346029,-0.530740075
0.5,0.6780095827,2000,-0.640669424,4,0.0186367571,0.0186367571,0.6593728255,-0.659306181
0.4,0.8176318271,2000,-0.778268269,4,0.0186367571,0.0186367571,0.79899507,-0.796905026
0.3,0.9745963364,2000,-0.93258574,4,0.0186367571,0.0186367571,0.9559595792,-0.951222497
0.2,1.1627029467,2000,-1.121840164,4,0.0186367571,0.0186367571,1.1440661895,-1.140476921
0.1,1.4584892668,2000,-1.400416801,4,0.0186367571,0.0186367571,1.4398525096,-1.419053558
1,-0.023639319,2000,-0.023639319,5,-0.023639319,-0.023639319,0,0
0.9,0.129851652,2000,-0.179167996,5,-0.023639319,-0.023639319,0.1534909706,-0.155528677
0.8,0.2548975136,2000,-0.306901051,5,-0.023639319,-0.023639319,0.2785368323,-0.283261732
0.7,0.3734185128,2000,-0.424330515,5,-0.023639319,-0.023639319,0.3970578314,-0.400691196
0.6,0.4924163113,2000,-0.54126393,5,-0.023639319,-0.023639319,0.5160556299,-0.517624611
0.5,0.6177581272,2000,-0.665012673,5,-0.023639319,-0.023639319,0.6413974458,-0.641373355
0.4,0.7556656422,2000,-0.800590965,5,-0.023639319,-0.023639319,0.7793049609,-0.776951647
0.3,0.9190819851,2000,-0.957833064,5,-0.023639319,-0.023639319,0.9427213037,-0.934193745
0.2,1.1268257597,2000,-1.155211917,5,-0.023639319,-0.023639319,1.1504650783,-1.131572598
0.1,1.4226390936,2000,-1.451587854,5,-0.023639319,-0.023639319,1.4462784122,-1.427948535
1,0.0352068645,2000,0.0352068645,6,0.0352068645,0.0352068645,0,0
0.9,0.1854770954,2000,-0.118171315,6,0.0352068645,0.0352068645,0.150270231,-0.15337818
0.8,0.3104447566,2000,-0.245725674,6,0.0352068645,0.0352068645,0.2752378922,-0.280932538
0.7,0.4265032392,2000,-0.363903972,6,0.0352068645,0.0352068645,0.3912963747,-0.399110837
0.6,0.5453750459,2000,-0.481143689,6,0.0352068645,0.0352068645,0.5101681815,-0.516350553
0.5,0.6716502748,2000,-0.60124427,6,0.0352068645,0.0352068645,0.6364434104,-0.636451135
0.4,0.8125995117,2000,-0.732936125,6,0.0352068645,0.0352068645,0.7773926472,-0.76814299
0.3,0.974195939,2000,-0.885490919,6,0.0352068645,0.0352068645,0.9389890746,-0.920697783
0.2,1.1762881792,2000,-1.083154324,6,0.0352068645,0.0352068645,1.1410813147,-1.118361189
0.1,1.4622507652,2000,-1.363874403,6,0.0352068645,0.0352068645,1.4270439008,-1.399081268
1,0.0081753932,2000,0.0081753932,7,0.0081753932,0.0081753932,0,0
0.9,0.1649883545,2000,-0.154188713,7,0.0081753932,0.0081753932,0.1568129613,-0.162364106
0.8,0.2924168436,2000,-0.283824458,7,0.0081753932,0.0081753932,0.2842414504,-0.291999852
0.7,0.413358717,2000,-0.40419254,7,0.0081753932,0.0081753932,0.4051833238,-0.412367934
0.6,0.5349532918,2000,-0.524107844,7,0.0081753932,0.0081753932,0.5267778986,-0.532283237
0.5,0.6647964597,2000,-0.648450262,7,0.0081753932,0.0081753932,0.6566210665,-0.656625655
0.4,0.8094914034,2000,-0.784864748,7,0.0081753932,0.0081753932,0.8013160102,-0.793040141
0.3,0.9781346996,2000,-0.944962559,7,0.0081753932,0.0081753932,0.9699593064,-0.953137952
0.2,1.1936093803,2000,-1.146181322,7,0.0081753932,0.0081753932,1.1854339871,-1.154356715
0.1,1.5162155456,2000,-1.449645373,7,0.0081753932,0.0081753932,1.5080401524,-1.457820766
1,0.0263378111,2000,0.0263378111,8,0.0263378111,0.0263378111,0,0
0.9,0.1850802538,2000,-0.124117335,8,0.0263378111,0.0263378111,0.1587424427,-0.150455146
0.8,0.3148853956,2000,-0.251811415,8,0.0263378111,0.0263378111,0.2885475845,-0.278149226
0.7,0.4361977537,2000,-0.374302759,8,0.0263378111,0.0263378111,0.4098599426,-0.40064057
0.6,0.5610233733,2000,-0.500021035,8,0.0263378111,0.0263378111,0.5346855622,-0.526358846
0.5,0.6866087129,2000,-0.633923773,8,0.0263378111,0.0263378111,0.6602709018,-0.660261584
0.4,0.8187424912,2000,-0.778571162,8,0.0263378111,0.0263378111,0.7924046801,-0.804908973
0.3,0.9688016784,2000,-0.93768857,8,0.0263378111,0.0263378111,0.9424638674,-0.964026382
0.2,1.1563381228,2000,-1.145276008,8,0.0263378111,0.0263378111,1.1300003117,-1.171613819
0.1,1.4267724946,2000,-1.448723408,8,0.0263378111,0.0263378111,1.4004346836,-1.47506122
1,0.0042406312,2000,0.0042406312,9,0.0042406312,0.0042406312,0,0
0.9,0.1655408165,2000,-0.151814515,9,0.0042406312,0.0042406312,0.1613001853,-0.156055146
0.8,0.2977311882,2000,-0.280491592,9,0.0042406312,0.0042406312,0.2934905571,-0.284732223
