p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.0134017,2000,-0.0134017,1,-0.0134017,-0.0134017,0,0
0.9,0.244971242,2000,-0.291980471,1,-0.0134017,-0.0134017,0.2583729417,-0.278578771
0.8,0.3800075825,2000,-0.422832282,1,-0.0134017,-0.0134017,0.3934092823,-0.409430582
0.7,0.4123653639,2000,-0.540549708,1,-0.0134017,-0.0134017,0.4257670636,-0.527148009
0.6,0.5280489726,2000,-0.575261596,1,-0.0134017,-0.0134017,0.5414506724,-0.561859896
0.5,0.7280134968,2000,-0.692106481,1,-0.0134017,-0.0134017,0.7414151965,-0.678704781
0.4,0.8498476458,2000,-0.824113288,1,-0.0134017,-0.0134017,0.8632493456,-0.810711588
0.3,0.9851258376,2000,-1.071248397,1,-0.0134017,-0.0134017,0.9985275374,-1.057846697
0.2,1.6988439942,2000,-1.759675006,1,-0.0134017,-0.0134017,1.7122456939,-1.746273306
0.1,1.839074203,2000,-1.909176922,1,-0.0134017,-0.0134017,1.8524759027,-1.895775222
