p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,0.0191541664,2000,0.0191541664,1,0.0191541664,0.0191541664,0,0
0.9,0.1840610812,2000,-0.145018595,1,0.0191541664,0.0191541664,0.1649069148,-0.164172761
0.8,0.3175414058,2000,-0.279633541,1,0.0191541664,0.0191541664,0.2983872394,-0.298787707
0.7,0.4434082837,2000,-0.407925993,1,0.0191541664,0.0191541664,0.4242541173,-0.427080159
0.6,0.5692869807,2000,-0.533865067,1,0.0191541664,0.0191541664,0.5501328143,-0.553019234
0.5,0.7023326855,2000,-0.663992617,1,0.0191541664,0.0191541664,0.6831785191,-0.683146783
0.4,0.851583762,2000,-0.808928139,1,0.0191541664,0.0191541664,0.8324295956,-0.828082305
0.3,1.0233965154,2000,-0.978524698,1,0.0191541664,0.0191541664,1.004242349,-0.997678864
0.2,1.2317577616,2000,-1.191864367,1,0.0191541664,0.0191541664,1.2126035952,-1.211018533
0.1,1.5433238677,2000,-1.511451134,1,0.0191541664,0.0191541664,1.5241697013,-1.5306053
1,0.011009908,2000,0.011009908,2,0.011009908,0.011009908,0,0
0.9,0.1760826096,2000,-0.152900574,2,0.011009908,0.011009908,0.1650727016,-0.163910482
0.8,0.3111946291,2000,-0.28571941,2,0.011009908,0.011009908,0.3001847211,-0.296729318
0.7,0.4366269906,2000,-0.412867204,2,0.011009908,0.011009908,0.4256170826,-0.423877112
0.6,0.5631429772,2000,-0.54142906,2,0.011009908,0.011009908,0.5521330692,-0.552438968
0.5,0.6967252582,2000,-0.674701669,2,0.011009908,0.011009908,0.6857153502,-0.685711577
0.4,0.8425392286,2000,-0.820071972,2,0.011009908,0.011009908,0.8315293205,-0.83108188
0.3,1.0077831575,2000,-0.989825655,2,0.011009908,0.011009908,0.9967732495,-1.000835563
0.2,1.2153351575,2000,-1.207183833,2,0.011009908,0.011009908,1.2043252494,-1.218193741
0.1,1.532780627,2000,-1.521286145,2,0.011009908,0.011009908,1.5217707189,-1.532296053
1,-0.007439193,2000,-0.007439193,3,-0.007439193,-0.007439193,0,0
0.9,0.1541250171,2000,-0.16744265,3,-0.007439193,-0.007439193,0.1615642097,-0.160003458
0.8,0.2888664362,2000,-0.298859305,3,-0.007439193,-0.007439193,0.2963056289,-0.291420112
0.7,0.416302006,2000,-0.424234343,3,-0.007439193,-0.007439193,0.4237411986,-0.41679515
0.6,0.5422905943,2000,-0.551706175,3,-0.007439193,-0.007439193,0.5497297869,-0.544266982
0.5,0.6707390915,2000,-0.685630853,3,-0.007439193,-0.007439193,0.6781782841,-0.67819166
0.4,0.8118314415,2000,-0.834939094,3,-0.007439193,-0.007439193,0.8192706341,-0.827499901
0.3,0.9728085865,2000,-1.003912088,3,-0.007439193,-0.007439193,0.9802477791,-0.996472895
0.2,1.1756541498,2000,-1.210085807,3,-0.007439193,-0.007439193,1.1830933425,-1.202646614
0.1,1.4792220983,2000,-1.508241827,3,-0.007439193,-0.007439193,1.4866612909,-1.500802635
1,-0.010677058,2000,-0.010677058,4,-0.010677058,-0.010677058,0,0
0.9,0.1470544298,2000,-0.164320048,4,-0.010677058,-0.010677058,0.1577314874,-0.15364299
0.8,0.2770305001,2000,-0.287148811,4,-0.010677058,-0.010677058,0.2877075577,-0.276471753
0.7,0.3965227826,2000,-0.407030425,4,-0.010677058,-0.010677058,0.4071998402,-0.396353367
0.6,0.5148484849,2000,-0.528455236,4,-0.010677058,-0.010677058,0.5255255425,-0.517778179
0.5,0.6362359758,2000,-0.657642565,4,-0.010677058,-0.010677058,0.6469130334,-0.646965508
0.4,0.7688578681,2000,-0.801860518,4,-0.010677058,-0.010677058,0.7795349257,-0.79118346
0.3,0.9218682527,2000,-0.968515411,4,-0.010677058,-0.010677058,0.9325453103,-0.957838353
0.2,1.1124888091,2000,-1.178907771,4,-0.010677058,-0.010677058,1.1231658667,-1.168230713
0.1,1.4185546899,2000,-1.477006282,4,-0.010677058,-0.010677058,1.4292317475,-1.466329225
1,0.022254497,2000,0.022254497,5,0.022254497,0.022254497,0,0
0.9,0.1886000381,2000,-0.137567035,5,0.022254497,0.022254497,0.1663455412,-0.159821532
0.8,0.3236078562,2000,-0.270845756,5,0.022254497,0.022254497,0.3013533592,-0.293100253
0.7,0.4507253635,2000,-0.398161669,5,0.022254497,0.022254497,0.4284708665,-0.420416166
0.6,0.5770756029,2000,-0.527439508,5,0.022254497,0.022254497,0.554821106,-0.549694005
0.5,0.7081203224,2000,-0.663600131,5,0.022254497,0.022254497,0.6858658254,-0.685854628
0.4,0.8496778594,2000,-0.812877346,5,0.022254497,0.022254497,0.8274233625,-0.835131843
0.3,1.0109469082,2000,-0.985253245,5,0.022254497,0.022254497,0.9886924112,-1.007507742
0.2,1.2120906188,2000,-1.200629891,5,0.022254497,0.022254497,1.1898361219,-1.222884388
0.1,1.5070170433,2000,-1.521433916,5,0.022254497,0.022254497,1.4847625463,-1.543688413
1,0.0117725567,2000,0.0117725567,6,0.0117725567,0.0117725567,0,0
0.9,0.1758655865,2000,-0.157611213,6,0.0117725567,0.0117725567,0.1640930298,-0.169383769
0.8,0.3122559026,2000,-0.293313812,6,0.0117725567,0.0117725567,0.3004833458,-0.305086369
0.7,0.4427584298,2000,-0.420503181,6,0.0117725567,0.0117725567,0.430985873,-0.432275738
0.6,0.5742150516,2000,-0.550800094,6,0.0117725567,0.0117725567,0.5624424949,-0.562572651
0.5,0.7105851592,2000,-0.687248722,6,0.0117725567,0.0117725567,0.6988126025,-0.699021279
0.4,0.8585142008,2000,-0.834776267,6,0.0117725567,0.0117725567,0.8467416441,-0.846548823
0.3,1.0281398421,2000,-1.001609603,6,0.0117725567,0.0117725567,1.0163672854,-1.01338216
0.2,1.2495343467,2000,-1.207603678,6,0.0117725567,0.0117725567,1.23776179,-1.219376235
0.1,1.5828047481,2000,-1.511641606,6,0.0117725567,0.0117725567,1.5710321914,-1.523414162
1,-0.022259636,2000,-0.022259636,7,-0.022259636,-0.022259636,0,0
0.9,0.1410694537,2000,-0.189077267,7,-0.022259636,-0.022259636,0.1633290893,-0.166817632
0.8,0.2789854817,2000,-0.326685327,7,-0.022259636,-0.022259636,0.3012451173,-0.304425691
0.7,0.4093032797,2000,-0.453234066,7,-0.022259636,-0.022259636,0.4315629153,-0.430974431
0.6,0.537369805,2000,-0.57934973,7,-0.022259636,-0.022259636,0.5596294406,-0.557090095
0.5,0.6688317908,2000,-0.713353923,7,-0.022259636,-0.022259636,0.6910914264,-0.691094287
0.4,0.8162356528,2000,-0.864607053,7,-0.022259636,-0.022259636,0.8384952884,-0.842347417
0.3,0.9910757125,2000,-1.036985858,7,-0.022259636,-0.022259636,1.0133353481,-1.014726222
0.2,1.2129059911,2000,-1.244865954,7,-0.022259636,-0.022259636,1.2351656267,-1.222606318
0.1,1.5256779538,2000,-1.538913376,7,-0.022259636,-0.022259636,1.5479375894,-1.516653741
1,0.0002965427,2000,0.0002965427,8,0.0002965427,0.0002965427,0,0
0.9,0.1660592383,2000,-0.162999933,8,0.0002965427,0.0002965427,0.1657626956,-0.163296475
0.8,0.3035059224,2000,-0.298361081,8,0.0002965427,0.0002965427,0.3032093797,-0.298657624
0.7,0.4308192646,2000,-0.42734715,8,0.0002965427,0.0002965427,0.4305227218,-0.427643693
0.6,0.5586727874,2000,-0.555979621,8,0.0002965427,0.0002965427,0.5583762446,-0.556276164
0.5,0.692318879,2000,-0.691669548,8,0.0002965427,0.0002965427,0.6920223363,-0.69196609
0.4,0.8375901742,2000,-0.840157994,8,0.0002965427,0.0002965427,0.8372936315,-0.840454537
