p,maxb,k,minb,group,maxb0,minb0,maxb2,minb2
1,-0.006897359,2000,-0.006897359,1,-0.006897359,-0.006897359,0,0
0.9,0.2597894394,2000,-0.301745036,1,-0.006897359,-0.006897359,0.2666867984,-0.294847677
0.8,0.3975581514,2000,-0.437819526,1,-0.006897359,-0.006897359,0.4044555103,-0.430922167
0.7,0.5220006528,2000,-0.559794603,1,-0.006897359,-0.006897359,0.5288980118,-0.552897244
0.6,0.5530811172,2000,-0.586487906,1,-0.006897359,-0.006897359,0.5599784762,-0.579590547
0.5,0.6728271444,2000,-0.703731464,1,-0.006897359,-0.006897359,0.6797245033,-0.696834106
0.4,0.8855759682,2000,-0.839240375,1,-0.006897359,-0.006897359,0.8924733272,-0.832343016
0.3,1.6394017034,2000,-0.988672535,1,-0.006897359,-0.006897359,1.6462990623,-0.981775177
0.2,1.7576235717,2000,-1.171669025,1,-0.006897359,-0.006897359,1.7645209306,-1.164771666
0.1,2.2243051786,2000,-2.204209583,1,-0.006897359,-0.006897359,2.2312025376,-2.197312224
