P,SAUC_LB,SAUC_UB,MAXB
0.1,0.5117206026,0.7586052746,0.6941045908
0.2,0.5403876673,0.7372731126,0.5506680987
0.3,0.5594630486,0.7223241558,0.4542151411
0.4,0.5746042531,0.7101503966,0.3778078429
0.5,0.5878635688,0.6992264199,0.3107071894
0.6,0.5999700583,0.6887990263,0.2478274802
0.7,0.612029153,0.6779226193,0.1833497321
0.8,0.6226281365,0.6679142845,0.1249317547
0.9,0.6340020959,0.6568160601,0.0610840498
1,0.6460502578,0.6460502578,-0.004046049
