P,SAUC_LB,SAUC_UB,MAXB
0.1,0.4785172717,0.7862556265,1.1038697743
0.2,0.5146769508,0.7611588469,0.8765185763
0.3,0.5388402895,0.7434208211,0.7247580658
0.4,0.5579857617,0.7287885066,0.60422052
0.5,0.5748009241,0.7154708404,0.4976999641
0.6,0.5900979087,0.7027549616,0.3985081239
0.7,0.6047787741,0.6898635527,0.3001871418
0.8,0.6185306587,0.6771912809,0.2055049668
0.9,0.6328828468,0.6633438822,0.1040312986
1,0.6488793171,0.6488793171,-0.006001574
