P,SAUC_LB,SAUC_UB,MAXB
0.1,0.511720603,0.7586052704,0.6941045622
0.2,0.5403876371,0.7372730107,0.5506674306
0.3,0.5594628948,0.7223240467,0.4542144479
0.4,0.5746328206,0.7101504265,0.3778080281
0.5,0.5878628945,0.6992253341,0.3107005841
0.6,0.5999701375,0.6887994574,0.2478300573
0.7,0.6120383957,0.6779173344,0.1833186611
0.8,0.6226311056,0.6679115774,0.1249160651
0.9,0.634001997,0.6568151803,0.0610790246
1,0.6460502578,0.6460502578,-0.004046049
