P,SAUC_LB,SAUC_UB,MAXB
0.1,0.4785172718,0.7862556265,1.1038697742
0.2,0.5146769508,0.7611588469,0.8765185761
0.3,0.5388402895,0.7434208211,0.7247580656
0.4,0.5579857621,0.7287885062,0.6042205166
0.5,0.5748009243,0.7154708404,0.4976999641
0.6,0.5900978806,0.7027549619,0.3985081266
0.7,0.6047786542,0.6898638546,0.3001894196
0.8,0.618530626,0.6771912805,0.205504964
0.9,0.632882299,0.6633438815,0.1040312934
1,0.6488793171,0.6488793171,-0.006001574
