P,SAUC_LB,SAUC_UB,MAXB
0.1,0.4785175813,0.7862556451,1.1038699485
0.2,0.5146769513,0.76115883,0.8765184286
0.3,0.5388402942,0.7434208248,0.7247580965
0.4,0.5579857167,0.7287885321,0.6042207266
0.5,0.5748009119,0.7154708454,0.4977000035
0.6,0.590097916,0.7027549486,0.3985080236
0.7,0.6047784283,0.6898633852,0.3001858777
0.8,0.6185307161,0.6771913677,0.2055056096
0.9,0.6328791601,0.6633427742,0.1040232562
1,0.6488793171,0.6488793171,-0.006001574
