p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
1,10,0.1563278363,OK,OPTIMAL,0.1563278346,OK,BEST_FEASIBLE,1,1
0.9,10,0.3508383859,OK,OPTIMAL,-0.048308353,OK,OPTIMAL,1,1
0.8,10,0.5273978905,OK,OPTIMAL,-0.193375441,OK,OPTIMAL,1,1
0.7,10,0.6985046377,OK,OPTIMAL,-0.354329782,OK,OPTIMAL,1,1
0.6,10,0.8468571055,OK,OPTIMAL,-0.535676357,OK,OPTIMAL,1,1
0.5,10,0.9779191588,OK,OPTIMAL,-0.743358343,OK,OPTIMAL,1,1
0.4,10,1.0930586649,OK,OPTIMAL,-0.871688159,OK,OPTIMAL,1,1
0.3,10,1.2186341611,OK,OPTIMAL,-1.081551468,OK,BEST_FEASIBLE,1,1
0.2,10,1.3191747031,OK,BEST_FEASIBLE,-1.265390667,OK,OPTIMAL,1,1
0.1,10,1.4095798263,OK,BEST_FEASIBLE,-1.286524641,OK,BEST_FEASIBLE,1,1
1,10,0.1563278363,OK,OPTIMAL,0.1563278351,OK,BEST_FE,1,2
0.9,10,0.3933682913,OK,OPTIMAL,-0.090023493,OK,BEST_FE,1,2
0.8,10,0.5484211736,OK,OPTIMAL,-0.299923946,OK,OPTIMAL,1,2
0.7,10,0.7182826052,OK,OPTIMAL,-0.438329728,OK,OPTIMAL,1,2
0.6,10,0.8711222208,OK,OPTIMAL,-0.591018139,OK,OPTIMAL,1,2
0.5,10,0.997286089,OK,OPTIMAL,-0.76901169,OK,OPTIMAL,1,2
0.4,10,1.1108718217,OK,BEST_FEASIBLE,-0.943442665,OK,OPTIMAL,1,2
0.3,10,1.2312873891,OK,BEST_FEASIBLE,-1.12876207,OK,OPTIMAL,1,2
0.2,10,1.3269031902,OK,OPTIMAL,-1.265390675,OK,OPTIMAL,1,2
0.1,10,1.4095798442,OK,BEST_FEASIBLE,-1.286524507,OK,OPTIMAL,1,2
1,10,0.1563278363,OK,OPTIMAL,0.1563278351,OK,BEST_FE,1,3
0.9,10,0.4239013831,OK,OPTIMAL,-0.147201485,OK,BEST_FE,1,3
0.8,10,0.630029391,OK,BEST_FEASIBLE,-0.36907418,OK,OPTIMAL,1,3
0.7,10,0.7716560637,OK,OPTIMAL,-0.595381151,OK,OPTIMAL,1,3
0.6,10,0.9201579812,OK,OPTIMAL,-0.75018485,OK,OPTIMAL,1,3
0.5,10,1.0399133336,OK,OPTIMAL,-0.864256899,OK,OPTIMAL,1,3
0.4,10,1.1510845013,OK,OPTIMAL,-1.005796627,OK,OPTIMAL,1,3
0.3,10,1.2492874928,OK,OPTIMAL,-1.15039513,OK,OPTIMAL,1,3
0.2,10,1.3335919012,OK,OPTIMAL,-1.265390681,OK,OPTIMAL,1,3
0.1,10,1.4095798627,OK,BEST_FEASIBLE,-1.286524504,OK,OPTIMAL,1,3
