p,maxb,k,minb,group
1,0.0096294686,2000,0.0096294686,1
0.9,0.1751679717,2000,-0.154796402,1
0.8,0.3147256473,2000,-0.289795766,1
0.7,0.4465997936,2000,-0.420659992,1
0.6,0.577739629,2000,-0.553512412,1
0.5,0.711721021,2000,-0.69246427,1
0.4,0.8572368458,2000,-0.845440124,1
0.3,1.0213503939,2000,-1.017712082,1
0.2,1.224746547,2000,-1.228244137,1
0.1,1.5358152729,2000,-1.526854289,1
1,-0.032366019,2000,-0.032366019,2
0.9,0.1288302253,2000,-0.200252683,2
0.8,0.2618557212,2000,-0.334793438,2
0.7,0.3885636088,2000,-0.459984447,2
0.6,0.5162469396,2000,-0.584292405,2
0.5,0.6492817496,2000,-0.714025241,2
0.4,0.7984049011,2000,-0.858181375,2
0.3,0.9731280614,2000,-1.02227171,2
0.2,1.1947892248,2000,-1.226691173,2
0.1,1.5252029046,2000,-1.529669858,2
1,-0.001874206,2000,-0.001874206,3
0.9,0.1582206967,2000,-0.166482693,3
0.8,0.288846502,2000,-0.299612893,3
0.7,0.4133877313,2000,-0.424282734,3
0.6,0.5393084052,2000,-0.547695456,3
0.5,0.6722239964,2000,-0.675974564,3
0.4,0.8197627414,2000,-0.816542874,3
0.3,0.9914843279,2000,-0.978547978,3
0.2,1.2065024663,2000,-1.182115746,3
0.1,1.5262208016,2000,-1.489240301,3
1,0.0169153126,2000,0.0169153126,4
0.9,0.1784933053,2000,-0.144865165,4
0.8,0.3123931462,2000,-0.279550577,4
0.7,0.4391812982,2000,-0.407661516,4
0.6,0.5664613601,2000,-0.536009187,4
0.5,0.701271316,2000,-0.667402361,4
0.4,0.8491808964,2000,-0.810282808,4
0.3,1.0153130758,2000,-0.97611109,4
0.2,1.22024969,2000,-1.182405063,4
0.1,1.5195689947,2000,-1.483916253,4
1,-0.023690146,2000,-0.023690146,5
0.9,0.1406354321,2000,-0.185886605,5
0.8,0.273047062,2000,-0.319896401,5
0.7,0.3995670039,2000,-0.446740751,5
0.6,0.5270061575,2000,-0.572587926,5
0.5,0.6591777345,2000,-0.706555038,5
0.4,0.8025557898,2000,-0.852621806,5
0.3,0.9711696149,2000,-1.01904725,5
0.2,1.1786015371,2000,-1.228026616,5
0.1,1.4826387393,2000,-1.549205115,5
1,-0.016205244,2000,-0.016205244,6
0.9,0.147572041,2000,-0.174040415,6
0.8,0.2823161491,2000,-0.305258478,6
0.7,0.4090158962,2000,-0.431061809,6
0.6,0.5352730342,2000,-0.559537031,6
0.5,0.6628297234,2000,-0.695280838,6
0.4,0.8016679972,2000,-0.846340171,6
0.3,0.9595077788,2000,-1.016109621,6
0.2,1.1574398228,2000,-1.227718354,6
0.1,1.4509167153,2000,-1.536756663,6
1,-0.022922582,2000,-0.022922582,7
0.9,0.1335528273,2000,-0.184374349,7
0.8,0.2666037615,2000,-0.316878602,7
0.7,0.3942504674,2000,-0.443505644,7
0.6,0.5236753148,2000,-0.571363922,7
0.5,0.65830865,2000,-0.704145406,7
0.4,0.8026091756,2000,-0.845708302,7
0.3,0.9661564651,2000,-1.004323174,7
0.2,1.1703233733,2000,-1.198462127,7
0.1,1.4767836733,2000,-1.477659375,7
1,0.004598615,2000,0.004598615,8
0.9,0.1709959182,2000,-0.154173093,8
0.8,0.3028918324,2000,-0.284579883,8
0.7,0.4252958532,2000,-0.408847265,8
0.6,0.5502573378,2000,-0.534842666,8
0.5,0.6785262076,2000,-0.669354388,8
0.4,0.816625404,2000,-0.816781203,8
0.3,0.9770100209,2000,-0.984735219,8
0.2,1.1787260167,2000,-1.205944069,8
0.1,1.4801465856,2000,-1.539577395,8
1,-0.015149995,2000,-0.015149995,9
0.9,0.1402270772,2000,-0.172220161,9
0.8,0.2675624012,2000,-0.302773781,9
0.7,0.3903632194,2000,-0.425770546,9
0.6,0.5140487307,2000,-0.54814704,9
0.5,0.645133426,2000,-0.67542487,9
0.4,0.7872280686,2000,-0.811826499,9
0.3,0.9507014938,2000,-0.96908547,9
0.2,1.1527769022,2000,-1.163430894,9
0.1,1.4450708108,2000,-1.460112561,9
1,-0.000842268,2000,-0.000842268,10
0.9,0.1579319925,2000,-0.159291255,10
0.8,0.2884959324,2000,-0.293478329,10
0.7,0.4128366123,2000,-0.419745936,10
0.6,0.5385537707,2000,-0.544931235,10
0.5,0.6724084606,2000,-0.674093819,10
0.4,0.8181673004,2000,-0.812819741,10
0.3,0.984348933,2000,-0.973833237,10
0.2,1.1871998855,2000,-1.175653198,10
0.1,1.4717118555,2000,-1.476342517,10
