p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,20000,0.0049438773,OK,OPTIMAL,14,0.0049438772,OK,BEST_FE,1
0.9,20000,0.0609544693,OK,OPTIMAL,15,-0.051457929,OK,OPTIMAL,1
0.8,20000,0.1214808003,OK,OPTIMAL,17,-0.111757661,OK,OPTIMAL,1
0.7,20000,0.1795912745,OK,OPTIMAL,20,-0.16976859,OK,OPTIMAL,1
0.6,20000,0.2375972795,OK,OPTIMAL,23,-0.227644239,OK,OPTIMAL,1
0.5,20000,0.2980981876,OK,OPTIMAL,28,-0.288172503,OK,OPTIMAL,1
0.4,20000,0.3632889271,OK,BEST_FE,35,-0.353333542,OK,OPTIMAL,1
0.3,20000,0.4387948581,OK,OPTIMAL,46,-0.428726323,OK,OPTIMAL,1
0.2,20000,0.5321009514,OK,OPTIMAL,70,-0.521559369,OK,OPTIMAL,1
0.1,20000,0.6708627538,OK,OPTIMAL,140,-0.658934935,OK,OPTIMAL,1
