p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,1000,0.0090499855,OK,OPTIMAL,14,0.0090499854,OK,BEST_FE,1
0.9,1000,0.0817257486,OK,OPTIMAL,15,-0.069889497,OK,OPTIMAL,1
0.8,1000,0.1422589292,OK,OPTIMAL,17,-0.130832916,OK,OPTIMAL,1
0.7,1000,0.2011048987,OK,OPTIMAL,20,-0.189296119,OK,OPTIMAL,1
0.6,1000,0.2599163833,OK,OPTIMAL,23,-0.246140999,OK,OPTIMAL,1
0.5,1000,0.322123815,OK,OPTIMAL,28,-0.304023995,OK,OPTIMAL,1
0.4,1000,0.3924609978,OK,OPTIMAL,35,-0.367871447,OK,OPTIMAL,1
0.3,1000,0.473524085,OK,OPTIMAL,46,-0.440742637,OK,OPTIMAL,1
0.2,1000,0.5723616924,OK,OPTIMAL,70,-0.527530463,OK,OPTIMAL,1
0.1,1000,0.7295375638,OK,OPTIMAL,140,-0.655033096,OK,OPTIMAL,1
