p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,20000,0.0049438773,OK,OPTIMAL,14,0.0049438769,OK,BEST_FE,1
0.9,20000,0.0609565453,OK,OPTIMAL,15,-0.051471927,OK,OPTIMAL,1
0.8,20000,0.1214795273,OK,OPTIMAL,17,-0.111756556,OK,OPTIMAL,1
0.7,20000,0.1795971378,OK,OPTIMAL,20,-0.169770398,OK,OPTIMAL,1
0.6,20000,0.2374485826,OK,OPTIMAL,23,-0.227497906,OK,OPTIMAL,1
0.5,20000,0.2927949303,OK,OPTIMAL,28,-0.282919981,OK,OPTIMAL,1
0.4,20000,0.363697273,OK,OPTIMAL,35,-0.353946499,OK,OPTIMAL,1
0.3,20000,0.4387479121,OK,OPTIMAL,46,-0.428662898,OK,OPTIMAL,1
0.2,20000,0.5321731588,OK,OPTIMAL,70,-0.521717169,OK,OPTIMAL,1
0.1,20000,0.6708787525,OK,OPTIMAL,140,-0.658951831,OK,OPTIMAL,1
