p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,1000,0.0095304052,OK,OPTIMAL,14,0.009530405,OK,BEST_FE,1
0.9,1000,0.0874344045,OK,OPTIMAL,15,-0.068195554,OK,OPTIMAL,1
0.8,1000,0.1508886516,OK,OPTIMAL,17,-0.131103008,OK,OPTIMAL,1
0.7,1000,0.2115304877,OK,OPTIMAL,20,-0.191159243,OK,OPTIMAL,1
0.6,1000,0.2717407657,OK,OPTIMAL,23,-0.252230948,OK,OPTIMAL,1
0.5,1000,0.3341934371,OK,OPTIMAL,28,-0.315134755,OK,OPTIMAL,1
0.4,1000,0.4027967428,OK,OPTIMAL,35,-0.384404457,OK,OPTIMAL,1
0.3,1000,0.4794682902,OK,OPTIMAL,46,-0.463466824,OK,OPTIMAL,1
0.2,1000,0.5758151551,OK,OPTIMAL,70,-0.55964485,OK,OPTIMAL,1
0.1,1000,0.7190624206,OK,OPTIMAL,140,-0.701571254,OK,OPTIMAL,1
1,1000,0.0071124362,OK,OPTIMAL,14,0.0071124361,OK,BEST_FE,2
0.9,1000,0.0832622929,OK,OPTIMAL,15,-0.067733261,OK,OPTIMAL,2
0.8,1000,0.141889992,OK,OPTIMAL,17,-0.129111648,OK,OPTIMAL,2
0.7,1000,0.1971136483,OK,OPTIMAL,20,-0.185282805,OK,OPTIMAL,2
0.6,1000,0.2514653173,OK,OPTIMAL,23,-0.239800903,OK,OPTIMAL,2
0.5,1000,0.3109318963,OK,OPTIMAL,28,-0.296682157,OK,OPTIMAL,2
0.4,1000,0.3781153517,OK,OPTIMAL,35,-0.36002909,OK,OPTIMAL,2
0.3,1000,0.4577105822,OK,OPTIMAL,46,-0.437888398,OK,OPTIMAL,2
0.2,1000,0.5557673961,OK,OPTIMAL,70,-0.535748191,OK,OPTIMAL,2
0.1,1000,0.6907493481,OK,OPTIMAL,140,-0.688231256,OK,OPTIMAL,2
1,1000,0.0039364002,OK,OPTIMAL,14,0.0039364002,OK,BEST_FE,3
0.9,1000,0.0783102833,OK,OPTIMAL,15,-0.072095706,OK,OPTIMAL,3
0.8,1000,0.138593153,OK,OPTIMAL,17,-0.134229132,OK,OPTIMAL,3
0.7,1000,0.1977907161,OK,OPTIMAL,20,-0.194646686,OK,OPTIMAL,3
0.6,1000,0.2585404164,OK,OPTIMAL,23,-0.254271549,OK,OPTIMAL,3
0.5,1000,0.3227315502,OK,OPTIMAL,28,-0.314857289,OK,OPTIMAL,3
0.4,1000,0.3918727207,OK,OPTIMAL,35,-0.378597308,OK,OPTIMAL,3
0.3,1000,0.4689879037,OK,OPTIMAL,46,-0.450049552,OK,OPTIMAL,3
0.2,1000,0.5603463381,OK,OPTIMAL,70,-0.538433219,OK,OPTIMAL,3
0.1,1000,0.6982654629,OK,OPTIMAL,140,-0.675426598,OK,OPTIMAL,3
1,1000,-0.013333729,OK,BEST_FE,14,-0.013333729,OK,OPTIMAL,4
0.9,1000,0.0595183462,OK,OPTIMAL,15,-0.085979293,OK,OPTIMAL,4
0.8,1000,0.117317815,OK,OPTIMAL,17,-0.144960619,OK,OPTIMAL,4
0.7,1000,0.1724200479,OK,OPTIMAL,20,-0.201001376,OK,OPTIMAL,4
0.6,1000,0.2287258653,OK,OPTIMAL,23,-0.255991508,OK,OPTIMAL,4
0.5,1000,0.2881878901,OK,BEST_FE,28,-0.314857369,OK,OPTIMAL,4
0.4,1000,0.351276049,OK,OPTIMAL,35,-0.377042622,OK,OPTIMAL,4
0.3,1000,0.4262160201,OK,OPTIMAL,46,-0.448419021,OK,OPTIMAL,4
0.2,1000,0.5169247332,OK,OPTIMAL,70,-0.53969912,OK,OPTIMAL,4
0.1,1000,0.6504514847,OK,OPTIMAL,140,-0.678975344,OK,OPTIMAL,4
1,1000,-0.006377381,OK,BEST_FE,14,-0.006377385,OK,OPTIMAL,5
0.9,1000,0.0641685755,OK,OPTIMAL,15,-0.081967583,OK,OPTIMAL,5
0.8,1000,0.1233825885,OK,OPTIMAL,17,-0.140235884,OK,OPTIMAL,5
0.7,1000,0.1793318312,OK,OPTIMAL,20,-0.195227607,OK,OPTIMAL,5
0.6,1000,0.2351678007,OK,OPTIMAL,23,-0.248855427,OK,OPTIMAL,5
0.5,1000,0.2931275727,OK,OPTIMAL,28,-0.305913902,OK,OPTIMAL,5
0.4,1000,0.357982389,OK,OPTIMAL,35,-0.369319691,OK,OPTIMAL,5
0.3,1000,0.435927074,OK,OPTIMAL,46,-0.441359157,OK,OPTIMAL,5
0.2,1000,0.5328153739,OK,OPTIMAL,70,-0.529161673,OK,OPTIMAL,5
0.1,1000,0.6839321975,OK,OPTIMAL,140,-0.651375485,OK,OPTIMAL,5
1,1000,0.0164063766,OK,OPTIMAL,14,0.0164063763,OK,BEST_FE,6
0.9,1000,0.0950332669,OK,OPTIMAL,15,-0.055082224,OK,OPTIMAL,6
0.8,1000,0.1563596664,OK,OPTIMAL,17,-0.115021191,OK,OPTIMAL,6
0.7,1000,0.2127073142,OK,OPTIMAL,20,-0.172197276,OK,OPTIMAL,6
0.6,1000,0.2687856348,OK,OPTIMAL,23,-0.23152112,OK,OPTIMAL,6
0.5,1000,0.326040108,OK,OPTIMAL,28,-0.293265104,OK,OPTIMAL,6
0.4,1000,0.3889118414,OK,OPTIMAL,35,-0.362785644,OK,OPTIMAL,6
0.3,1000,0.4581774381,OK,OPTIMAL,46,-0.443295911,OK,OPTIMAL,6
0.2,1000,0.5458566398,OK,OPTIMAL,70,-0.547166465,OK,OPTIMAL,6
0.1,1000,0.6698008781,OK,OPTIMAL,140,-0.701264524,OK,OPTIMAL,6
1,1000,0.0139167733,OK,OPTIMAL,14,0.0139167726,OK,BEST_FE,7
0.9,1000,0.086946925,OK,OPTIMAL,15,-0.062942448,OK,OPTIMAL,7
0.8,1000,0.1468913996,OK,OPTIMAL,17,-0.122597254,OK,OPTIMAL,7
0.7,1000,0.2060363582,OK,OPTIMAL,20,-0.179081856,OK,OPTIMAL,7
0.6,1000,0.2655582554,OK,OPTIMAL,23,-0.238652123,OK,OPTIMAL,7
0.5,1000,0.3281417914,OK,OPTIMAL,28,-0.300310704,OK,OPTIMAL,7
0.4,1000,0.3933960936,OK,OPTIMAL,35,-0.364183013,OK,OPTIMAL,7
0.3,1000,0.4659343263,OK,OPTIMAL,46,-0.436027525,OK,OPTIMAL,7
0.2,1000,0.5637117537,OK,OPTIMAL,70,-0.521742295,OK,OPTIMAL,7
0.1,1000,0.7156661448,OK,OPTIMAL,140,-0.65336014,OK,OPTIMAL,7
1,1000,0.0135875035,OK,OPTIMAL,14,0.0135875032,OK,BEST_FE,8
0.9,1000,0.0885846888,OK,OPTIMAL,15,-0.062064183,OK,OPTIMAL,8
0.8,1000,0.145441484,OK,OPTIMAL,17,-0.122913013,OK,OPTIMAL,8
0.7,1000,0.1995755336,OK,OPTIMAL,20,-0.177980932,OK,OPTIMAL,8
0.6,1000,0.2551041919,OK,OPTIMAL,23,-0.232101608,OK,OPTIMAL,8
0.5,1000,0.3145604996,OK,OPTIMAL,28,-0.287391,OK,OPTIMAL,8
0.4,1000,0.3827552098,OK,OPTIMAL,35,-0.349311422,OK,OPTIMAL,8
0.3,1000,0.4622467992,OK,OPTIMAL,46,-0.422040308,OK,OPTIMAL,8
0.2,1000,0.5633512465,OK,OPTIMAL,70,-0.51755518,OK,OPTIMAL,8
0.1,1000,0.7045031785,OK,OPTIMAL,140,-0.671407731,OK,OPTIMAL,8
1,1000,-0.001500238,OK,BEST_FE,14,-0.001500238,OK,OPTIMAL,9
0.9,1000,0.0690308606,OK,OPTIMAL,15,-0.073252056,OK,OPTIMAL,9
0.8,1000,0.1263159958,OK,OPTIMAL,17,-0.131772116,OK,OPTIMAL,9
0.7,1000,0.1804262334,OK,OPTIMAL,20,-0.187535345,OK,OPTIMAL,9
0.6,1000,0.2363077753,OK,OPTIMAL,23,-0.241609773,OK,OPTIMAL,9
0.5,1000,0.2955557619,OK,OPTIMAL,28,-0.298556217,OK,OPTIMAL,9
0.4,1000,0.3592775334,OK,OPTIMAL,35,-0.358838676,OK,OPTIMAL,9
0.3,1000,0.4342441235,OK,OPTIMAL,46,-0.427657066,OK,OPTIMAL,9
0.2,1000,0.5233317759,OK,OPTIMAL,70,-0.51651272,OK,OPTIMAL,9
0.1,1000,0.6542501723,OK,OPTIMAL,140,-0.646266336,OK,OPTIMAL,9
1,1000,-0.010650217,OK,BEST_FE,14,-0.010650225,OK,OPTIMAL,10
0.9,1000,0.0643296785,OK,OPTIMAL,15,-0.084340423,OK,OPTIMAL,10
0.8,1000,0.1249996632,OK,OPTIMAL,17,-0.144582813,OK,OPTIMAL,10
0.7,1000,0.1810588364,OK,OPTIMAL,20,-0.201974057,OK,OPTIMAL,10
0.6,1000,0.2374785344,OK,OPTIMAL,23,-0.260349285,OK,OPTIMAL,10
0.5,1000,0.2984752308,OK,OPTIMAL,28,-0.319777195,OK,OPTIMAL,10
0.4,1000,0.3645228279,OK,OPTIMAL,35,-0.383470251,OK,OPTIMAL,10
0.3,1000,0.4374373367,OK,OPTIMAL,46,-0.459636076,OK,OPTIMAL,10
0.2,1000,0.5288201903,OK,OPTIMAL,70,-0.557006365,OK,OPTIMAL,10
0.1,1000,0.6625787579,OK,OPTIMAL,140,-0.695541733,OK,OPTIMAL,10
