p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
0.2,2000,0.5534063218,OK,OPTIMAL,70,-0.523120468,OK,OPTIMAL,7
0.1,2000,0.6977196968,OK,OPTIMAL,140,-0.65702701,OK,OPTIMAL,7
1,2000,0.0045347003,OK,OPTIMAL,14,0.0045347001,OK,BEST_FE,8
0.9,2000,0.0807092435,OK,OPTIMAL,15,-0.069534906,OK,OPTIMAL,8
0.8,2000,0.1405825173,OK,OPTIMAL,17,-0.130746811,OK,OPTIMAL,8
0.7,2000,0.196374572,OK,OPTIMAL,20,-0.18801364,OK,OPTIMAL,8
0.6,2000,0.253828859,OK,OPTIMAL,23,-0.245366839,OK,OPTIMAL,8
0.5,2000,0.3142402126,OK,OPTIMAL,28,-0.305120278,OK,OPTIMAL,8
0.4,2000,0.3806135788,OK,OPTIMAL,35,-0.37061926,OK,OPTIMAL,8
0.3,2000,0.4571780322,OK,OPTIMAL,46,-0.446343995,OK,OPTIMAL,8
0.2,2000,0.5530547258,OK,OPTIMAL,70,-0.546957731,OK,OPTIMAL,8
0.1,2000,0.6907802322,OK,OPTIMAL,140,-0.700804543,OK,OPTIMAL,8
1,2000,0.0004438478,OK,OPTIMAL,14,0.0004438478,OK,OPTIMAL,9
0.9,2000,0.0717032338,OK,OPTIMAL,15,-0.070773602,OK,OPTIMAL,9
0.8,2000,0.1291275864,OK,OPTIMAL,17,-0.12969726,OK,OPTIMAL,9
0.7,2000,0.1842551054,OK,OPTIMAL,20,-0.185289095,OK,OPTIMAL,9
0.6,2000,0.2398276938,OK,OPTIMAL,23,-0.239972841,OK,OPTIMAL,9
0.5,2000,0.2981783985,OK,OPTIMAL,28,-0.297343174,OK,OPTIMAL,9
0.4,2000,0.3623338845,OK,OPTIMAL,35,-0.359847104,OK,OPTIMAL,9
0.3,2000,0.437088018,OK,OPTIMAL,46,-0.431718828,OK,OPTIMAL,9
0.2,2000,0.528377552,OK,OPTIMAL,70,-0.521638251,OK,OPTIMAL,9
0.1,2000,0.6611030329,OK,OPTIMAL,140,-0.660522123,OK,OPTIMAL,9
1,2000,-0.00237858,OK,BEST_FE,14,-0.002378582,OK,OPTIMAL,10
0.9,2000,0.0725245855,OK,OPTIMAL,15,-0.075043418,OK,OPTIMAL,10
0.8,2000,0.1325118245,OK,OPTIMAL,17,-0.136121926,OK,OPTIMAL,10
0.7,2000,0.1888968951,OK,OPTIMAL,20,-0.193989514,OK,OPTIMAL,10
0.6,2000,0.2459515486,OK,OPTIMAL,23,-0.252314164,OK,OPTIMAL,10
0.5,2000,0.3070377889,OK,OPTIMAL,28,-0.311796008,OK,OPTIMAL,10
0.4,2000,0.373766585,OK,OPTIMAL,35,-0.376085822,OK,OPTIMAL,10
0.3,2000,0.4480357262,OK,OPTIMAL,46,-0.451950196,OK,OPTIMAL,10
0.2,2000,0.5399632058,OK,OPTIMAL,70,-0.549289215,OK,OPTIMAL,10
0.1,2000,0.67129555,OK,OPTIMAL,140,-0.696229442,OK,OPTIMAL,10
