p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,20000,0.0010819695,OK,OPTIMAL,14,0.0010819695,OK,BEST_FE,1
0.9,20000,0.0574437307,OK,OPTIMAL,15,-0.055268356,OK,OPTIMAL,1
0.8,20000,0.1182418472,OK,OPTIMAL,17,-0.115633436,OK,OPTIMAL,1
0.7,20000,0.1763491734,OK,OPTIMAL,20,-0.173416811,OK,OPTIMAL,1
0.6,20000,0.2340850289,OK,OPTIMAL,23,-0.231195066,OK,OPTIMAL,1
0.5,20000,0.2890845601,OK,OPTIMAL,28,-0.286905081,OK,OPTIMAL,1
0.4,20000,0.359534767,OK,OPTIMAL,35,-0.35857902,OK,OPTIMAL,1
0.3,20000,0.4343596919,OK,OPTIMAL,46,-0.434012537,OK,OPTIMAL,1
0.2,20000,0.5282462809,OK,OPTIMAL,70,-0.527997268,OK,OPTIMAL,1
0.1,20000,0.6673243827,OK,OPTIMAL,140,-0.666273117,OK,OPTIMAL,1
1,20000,-0.004024661,OK,BEST_FE,14,-0.004024662,OK,OPTIMAL,2
0.9,20000,0.0524398757,OK,OPTIMAL,15,-0.060695869,OK,OPTIMAL,2
0.8,20000,0.1125347144,OK,OPTIMAL,17,-0.120807728,OK,OPTIMAL,2
0.7,20000,0.1702431749,OK,OPTIMAL,20,-0.178202343,OK,OPTIMAL,2
0.6,20000,0.2275392251,OK,OPTIMAL,23,-0.235218032,OK,OPTIMAL,2
0.5,20000,0.2820905225,OK,OPTIMAL,28,-0.290147235,OK,OPTIMAL,2
0.4,20000,0.3527633295,OK,OPTIMAL,35,-0.361470137,OK,OPTIMAL,2
0.3,20000,0.4284208559,OK,OPTIMAL,46,-0.436724917,OK,OPTIMAL,2
0.2,20000,0.5233769583,OK,OPTIMAL,70,-0.530446697,OK,OPTIMAL,2
0.1,20000,0.6649850448,OK,OPTIMAL,140,-0.670964493,OK,OPTIMAL,2
1,20000,0.0017756372,OK,OPTIMAL,14,0.0017756371,OK,BEST_FE,3
0.9,20000,0.0569550319,OK,OPTIMAL,15,-0.054660672,OK,OPTIMAL,3
0.8,20000,0.1165077165,OK,OPTIMAL,17,-0.114315919,OK,OPTIMAL,3
0.7,20000,0.1735710804,OK,OPTIMAL,20,-0.171287665,OK,OPTIMAL,3
0.6,20000,0.230426469,OK,OPTIMAL,23,-0.227840756,OK,OPTIMAL,3
0.5,20000,0.2851728752,OK,OPTIMAL,28,-0.281785182,OK,OPTIMAL,3
0.4,20000,0.3562602486,OK,OPTIMAL,35,-0.351296731,OK,OPTIMAL,3
0.3,20000,0.4290054889,OK,OPTIMAL,46,-0.425145539,OK,OPTIMAL,3
0.2,20000,0.5263291297,OK,OPTIMAL,70,-0.517292693,OK,OPTIMAL,3
0.1,20000,0.6681051543,OK,OPTIMAL,140,-0.654259253,OK,OPTIMAL,3
1,20000,-0.000217685,OK,BEST_FE,14,-0.000217685,OK,OPTIMAL,4
0.9,20000,0.0558659009,OK,OPTIMAL,15,-0.05554756,OK,OPTIMAL,4
0.8,20000,0.1162039115,OK,OPTIMAL,17,-0.115433675,OK,OPTIMAL,4
0.7,20000,0.1736567959,OK,OPTIMAL,20,-0.173050266,OK,OPTIMAL,4
0.6,20000,0.2307079762,OK,OPTIMAL,23,-0.230566977,OK,OPTIMAL,4
0.5,20000,0.285424989,OK,OPTIMAL,28,-0.285857036,OK,OPTIMAL,4
0.4,20000,0.3553950122,OK,OPTIMAL,35,-0.356731987,OK,OPTIMAL,4
0.3,20000,0.4291085617,OK,OPTIMAL,46,-0.432167944,OK,OPTIMAL,4
0.2,20000,0.5209144073,OK,OPTIMAL,70,-0.526405098,OK,OPTIMAL,4
0.1,20000,0.6560649937,OK,OPTIMAL,140,-0.664206253,OK,OPTIMAL,4
1,20000,-0.002060962,OK,BEST_FE,14,-0.002060962,OK,OPTIMAL,5
0.9,20000,0.0538575567,OK,OPTIMAL,15,-0.058280308,OK,OPTIMAL,5
0.8,20000,0.1140015309,OK,OPTIMAL,17,-0.118371005,OK,OPTIMAL,5
0.7,20000,0.1716367224,OK,OPTIMAL,20,-0.176063492,OK,OPTIMAL,5
0.6,20000,0.2290021068,OK,OPTIMAL,23,-0.233097532,OK,OPTIMAL,5
0.5,20000,0.2838975473,OK,OPTIMAL,28,-0.288033991,OK,OPTIMAL,5
0.4,20000,0.3545026842,OK,OPTIMAL,35,-0.358785702,OK,OPTIMAL,5
0.3,20000,0.4301535288,OK,OPTIMAL,46,-0.433447467,OK,OPTIMAL,5
0.2,20000,0.5236220095,OK,OPTIMAL,70,-0.526704142,OK,OPTIMAL,5
0.1,20000,0.6625277408,OK,OPTIMAL,140,-0.664712031,OK,OPTIMAL,5
1,20000,-0.004367612,OK,BEST_FE,14,-0.004367612,OK,OPTIMAL,6
0.9,20000,0.052179258,OK,OPTIMAL,15,-0.06064575,OK,OPTIMAL,6
0.8,20000,0.1130214833,OK,OPTIMAL,17,-0.120880278,OK,OPTIMAL,6
0.7,20000,0.1715788361,OK,OPTIMAL,20,-0.178672344,OK,OPTIMAL,6
0.6,20000,0.2293146478,OK,OPTIMAL,23,-0.236803399,OK,OPTIMAL,6
