p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,5000,0.0025873391,OK,OPTIMAL,14,0.002587339,OK,BEST_FE,1
0.9,5000,0.0742001637,OK,OPTIMAL,15,-0.067926635,OK,OPTIMAL,1
0.8,5000,0.1359443211,OK,OPTIMAL,17,-0.129430777,OK,OPTIMAL,1
0.7,5000,0.1942889468,OK,OPTIMAL,20,-0.187749715,OK,OPTIMAL,1
0.6,5000,0.2536681451,OK,OPTIMAL,23,-0.247268743,OK,OPTIMAL,1
0.5,5000,0.3139495662,OK,OPTIMAL,28,-0.308775073,OK,OPTIMAL,1
0.4,5000,0.380275294,OK,OPTIMAL,35,-0.376952416,OK,OPTIMAL,1
0.3,5000,0.4552447865,OK,OPTIMAL,46,-0.453175505,OK,OPTIMAL,1
0.2,5000,0.54833499,OK,OPTIMAL,70,-0.548524702,OK,OPTIMAL,1
0.1,5000,0.6843778191,OK,OPTIMAL,140,-0.689236781,OK,OPTIMAL,1
1,5000,0.0005208211,OK,OPTIMAL,14,0.0005208211,OK,BEST_FE,2
0.9,5000,0.0712914108,OK,OPTIMAL,15,-0.070414886,OK,OPTIMAL,2
0.8,5000,0.1316126345,OK,OPTIMAL,17,-0.131383468,OK,OPTIMAL,2
0.7,5000,0.1883934394,OK,OPTIMAL,20,-0.188781068,OK,OPTIMAL,2
0.6,5000,0.2464947277,OK,OPTIMAL,23,-0.245904269,OK,OPTIMAL,2
0.5,5000,0.3057318874,OK,OPTIMAL,28,-0.30503221,OK,OPTIMAL,2
0.4,5000,0.3730479748,OK,OPTIMAL,35,-0.37132028,OK,OPTIMAL,2
0.3,5000,0.4500481365,OK,OPTIMAL,46,-0.446107595,OK,OPTIMAL,2
0.2,5000,0.5458010961,OK,OPTIMAL,70,-0.541479704,OK,OPTIMAL,2
0.1,5000,0.6861657458,OK,OPTIMAL,140,-0.68376316,OK,OPTIMAL,2
1,5000,-0.000702356,OK,BEST_FE,14,-0.000702356,OK,OPTIMAL,3
0.9,5000,0.0688429749,OK,OPTIMAL,15,-0.072524114,OK,OPTIMAL,3
0.8,5000,0.1286617624,OK,OPTIMAL,17,-0.133315748,OK,OPTIMAL,3
0.7,5000,0.1860245713,OK,OPTIMAL,20,-0.19051461,OK,OPTIMAL,3
0.6,5000,0.2438449679,OK,OPTIMAL,23,-0.247604592,OK,OPTIMAL,3
0.5,5000,0.3041973062,OK,OPTIMAL,28,-0.306240268,OK,OPTIMAL,3
0.4,5000,0.3725294562,OK,OPTIMAL,35,-0.370418272,OK,OPTIMAL,3
0.3,5000,0.450703528,OK,OPTIMAL,46,-0.444203149,OK,OPTIMAL,3
0.2,5000,0.5474122911,OK,OPTIMAL,70,-0.535754438,OK,OPTIMAL,3
0.1,5000,0.693027319,OK,OPTIMAL,140,-0.673654091,OK,OPTIMAL,3
1,5000,-0.002433054,OK,BEST_FE,14,-0.002433054,OK,OPTIMAL,4
