p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,10,-0.036837067,OK,BEST_FEASIBLE,14,-0.036837077,OK,BEST_FE,1
0.9,10,0.0170441015,OK,OPTIMAL,15,-0.073519967,OK,OPTIMAL,1
0.8,10,0.1339673717,OK,OPTIMAL,17,-0.162592601,OK,OPTIMAL,1
0.7,10,0.2277458069,OK,OPTIMAL,20,-0.286312352,OK,OPTIMAL,1
0.6,10,0.3366899373,OK,OPTIMAL,23,-0.455659245,OK,OPTIMAL,1
0.5,10,0.4402064505,OK,OPTIMAL,28,-0.737456267,OK,OPTIMAL,1
0.4,10,0.4402064546,OK,OPTIMAL,35,-0.737456211,OK,OPTIMAL,1
0.3,10,0.4402064552,OK,OPTIMAL,46,-0.737456155,OK,OPTIMAL,1
0.2,10,0.4402073557,OK,BEST_FEASIBLE,70,-0.737456134,OK,OPTIMAL,1
0.1,10,0.4402074601,OK,BEST_FEASIBLE,140,-0.737456089,OK,OPTIMAL,1
