p,k,maxb,status1,solstatus1,s,minb,status2,solstatus2,group
1,5000,0.0044416393,OK,OPTIMAL,14,0.0044416392,OK,BEST_FEASIBLE,1
0.9,5000,0.0551744454,OK,OPTIMAL,15,-0.047210472,OK,OPTIMAL,1
0.8,5000,0.1417949658,OK,OPTIMAL,17,-0.132317213,OK,OPTIMAL,1
0.7,5000,0.2638390431,OK,BEST_FEASIBLE,20,-0.254690309,OK,OPTIMAL,1
0.6,5000,0.4006824342,OK,BEST_FEASIBLE,23,-0.39296847,OK,BEST_FEASIBLE,1
0.5,5000,1.416850834,OK,OPTIMAL,28,-1.307282837,OK,BEST_FEASIBLE,1
0.4,5000,0.7392991907,OK,BEST_FEASIBLE,35,-1.30729449,OK,OPTIMAL,1
0.3,5000,1.4290501827,OK,BEST_FEASIBLE,46,-1.307298036,OK,BEST_FEASIBLE,1
0.2,5000,1.4287778168,OK,BEST_FEASIBLE,70,-1.307297322,OK,BEST_FEASIBLE,1
0.1,5000,0.8925484619,OK,BEST_FEASIBLE,140,-0.763708413,OK,BEST_FEASIBLE,1
