p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group
1,1000,0.0090499855,OK,OPTIMAL,0.0090499805,OK,BEST_FE,1
0.9,1000,0.0817273087,OK,OPTIMAL,-0.069889388,OK,OPTIMAL,1
0.8,1000,0.1422587413,OK,OPTIMAL,-0.130831191,OK,OPTIMAL,1
0.7,1000,0.2011051823,OK,OPTIMAL,-0.189296035,OK,OPTIMAL,1
0.6,1000,0.2599165237,OK,OPTIMAL,-0.246140895,OK,OPTIMAL,1
0.5,1000,0.3221241562,OK,OPTIMAL,-0.304023931,OK,OPTIMAL,1
0.4,1000,0.3924609593,OK,OPTIMAL,-0.367873549,OK,OPTIMAL,1
0.3,1000,0.4735245681,OK,OPTIMAL,-0.440742479,OK,OPTIMAL,1
0.2,1000,0.5723628543,OK,OPTIMAL,-0.527531646,OK,OPTIMAL,1
0.1,1000,0.7295379726,OK,OPTIMAL,-0.655032936,OK,OPTIMAL,1
