p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group
1,2000,0.0040502951,OK,OPTIMAL,0.0040502951,OK,BEST_FE,1
0.9,2000,0.0775399991,OK,OPTIMAL,-0.070185618,OK,OPTIMAL,1
0.8,2000,0.1377277935,OK,OPTIMAL,-0.129508966,OK,OPTIMAL,1
0.7,2000,0.1953500777,OK,OPTIMAL,-0.187029024,OK,OPTIMAL,1
0.6,2000,0.2529855346,OK,BEST_FE,-0.244669781,OK,OPTIMAL,1
0.5,2000,0.3127819241,OK,OPTIMAL,-0.304677868,OK,OPTIMAL,1
0.4,2000,0.3783730246,OK,OPTIMAL,-0.370583887,OK,OPTIMAL,1
0.3,2000,0.4532565828,OK,OPTIMAL,-0.445585055,OK,OPTIMAL,1
0.2,2000,0.545771694,OK,OPTIMAL,-0.538028934,OK,OPTIMAL,1
0.1,2000,0.6918996437,OK,OPTIMAL,-0.677009047,OK,OPTIMAL,1
