p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group
1,20000,0.0010819695,OK,OPTIMAL,0.0010819695,OK,BEST_FE,1
0.9,20000,0.0574439714,OK,OPTIMAL,-0.055279356,OK,OPTIMAL,1
0.8,20000,0.1182425745,OK,OPTIMAL,-0.115635186,OK,OPTIMAL,1
0.7,20000,0.1763495469,OK,OPTIMAL,-0.173415003,OK,OPTIMAL,1
0.6,20000,0.2342321082,OK,OPTIMAL,-0.231341763,OK,OPTIMAL,1
0.5,20000,0.2944138729,OK,OPTIMAL,-0.29224107,OK,OPTIMAL,1
0.4,20000,0.3593049816,OK,OPTIMAL,-0.357975356,OK,OPTIMAL,1
0.3,20000,0.4343779007,OK,OPTIMAL,-0.434061647,OK,OPTIMAL,1
0.2,20000,0.5281846606,OK,OPTIMAL,-0.527942791,OK,OPTIMAL,1
0.1,20000,0.6673111299,OK,OPTIMAL,-0.666244474,OK,OPTIMAL,1
1,20000,-0.004024661,OK,BEST_FE,-0.004024662,OK,OPTIMAL,2
0.9,20000,0.0524206492,OK,OPTIMAL,-0.060717854,OK,OPTIMAL,2
0.8,20000,0.1125364343,OK,OPTIMAL,-0.120809803,OK,OPTIMAL,2
0.7,20000,0.1702293281,OK,OPTIMAL,-0.178187705,OK,OPTIMAL,2
0.6,20000,0.2276864678,OK,OPTIMAL,-0.235361708,OK,OPTIMAL,2
0.5,20000,0.2874712151,OK,OPTIMAL,-0.295482638,OK,OPTIMAL,2
0.4,20000,0.352231503,OK,OPTIMAL,-0.36086137,OK,OPTIMAL,2
0.3,20000,0.4285434956,OK,OPTIMAL,-0.436788965,OK,OPTIMAL,2
0.2,20000,0.5233014633,OK,OPTIMAL,-0.530396272,OK,OPTIMAL,2
0.1,20000,0.6649569804,OK,OPTIMAL,-0.670949509,OK,OPTIMAL,2
1,20000,0.0017756372,OK,OPTIMAL,0.0017756372,OK,BEST_FE,3
0.9,20000,0.0569553099,OK,OPTIMAL,-0.054640833,OK,OPTIMAL,3
0.8,20000,0.1165082314,OK,OPTIMAL,-0.11431696,OK,OPTIMAL,3
0.7,20000,0.1735700816,OK,OPTIMAL,-0.171285291,OK,OPTIMAL,3
0.6,20000,0.230569637,OK,OPTIMAL,-0.227983332,OK,OPTIMAL,3
0.5,20000,0.2907025224,OK,OPTIMAL,-0.287160836,OK,OPTIMAL,3
0.4,20000,0.3559514575,OK,BEST_FE,-0.351003181,OK,OPTIMAL,3
0.3,20000,0.4317749808,OK,OPTIMAL,-0.42512924,OK,OPTIMAL,3
0.2,20000,0.52633793,OK,OPTIMAL,-0.517224881,OK,OPTIMAL,3
0.1,20000,0.6680771383,OK,OPTIMAL,-0.654230734,OK,OPTIMAL,3
1,20000,-0.000217685,OK,BEST_FE,-0.000217685,OK,OPTIMAL,4
0.9,20000,0.0558617097,OK,OPTIMAL,-0.055530148,OK,OPTIMAL,4
0.8,20000,0.1162042227,OK,OPTIMAL,-0.115434582,OK,OPTIMAL,4
0.7,20000,0.1736567432,OK,OPTIMAL,-0.173046324,OK,OPTIMAL,4
0.6,20000,0.2308547606,OK,OPTIMAL,-0.230712988,OK,OPTIMAL,4
0.5,20000,0.2908346231,OK,OPTIMAL,-0.291261827,OK,OPTIMAL,4
0.4,20000,0.35519292,OK,OPTIMAL,-0.356189792,OK,BEST_FE,4
0.3,20000,0.4291355978,OK,OPTIMAL,-0.432184631,OK,OPTIMAL,4
0.2,20000,0.5208744361,OK,OPTIMAL,-0.526348727,OK,OPTIMAL,4
0.1,20000,0.6561080692,OK,BEST_FE,-0.664186112,OK,OPTIMAL,4
1,20000,-0.002060962,OK,BEST_FE,-0.002060962,OK,BEST_FE,5
0.9,20000,0.0538578976,OK,OPTIMAL,-0.058291289,OK,OPTIMAL,5
0.8,20000,0.1140026418,OK,OPTIMAL,-0.118372683,OK,OPTIMAL,5
0.7,20000,0.1716374579,OK,OPTIMAL,-0.176075246,OK,OPTIMAL,5
0.6,20000,0.2291475145,OK,OPTIMAL,-0.233244631,OK,OPTIMAL,5
0.5,20000,0.2892566722,OK,OPTIMAL,-0.29337938,OK,OPTIMAL,5
0.4,20000,0.3542413602,OK,OPTIMAL,-0.358476146,OK,OPTIMAL,5
0.3,20000,0.4301889381,OK,OPTIMAL,-0.433483498,OK,OPTIMAL,5
0.2,20000,0.5235480906,OK,BEST_FE,-0.526644139,OK,BEST_FE,5
0.1,20000,0.6625090645,OK,OPTIMAL,-0.664656607,OK,OPTIMAL,5
1,20000,-0.004367612,OK,BEST_FE,-0.004367612,OK,OPTIMAL,6
0.9,20000,0.0521743764,OK,OPTIMAL,-0.06069016,OK,OPTIMAL,6
0.8,20000,0.1130218825,OK,OPTIMAL,-0.120879084,OK,OPTIMAL,6
0.7,20000,0.1715791942,OK,OPTIMAL,-0.178698716,OK,OPTIMAL,6
0.6,20000,0.2294674524,OK,OPTIMAL,-0.236951466,OK,OPTIMAL,6
0.5,20000,0.2896043792,OK,OPTIMAL,-0.298303615,OK,OPTIMAL,6
0.4,20000,0.3540949515,OK,OPTIMAL,-0.364441043,OK,OPTIMAL,6
