p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group
1,2000,0.0043278014,OK,OPTIMAL,0.0043278014,OK,BEST_FE,1
0.9,2000,0.0790764312,OK,OPTIMAL,-0.070411684,OK,OPTIMAL,1
0.8,2000,0.1414109069,OK,OPTIMAL,-0.132131112,OK,OPTIMAL,1
0.7,2000,0.2009939395,OK,OPTIMAL,-0.191054081,OK,OPTIMAL,1
0.6,2000,0.2599342295,OK,OPTIMAL,-0.249996498,OK,OPTIMAL,1
0.5,2000,0.3206819451,OK,OPTIMAL,-0.312025364,OK,OPTIMAL,1
0.4,2000,0.3870569222,OK,OPTIMAL,-0.380336702,OK,OPTIMAL,1
0.3,2000,0.4635991429,OK,OPTIMAL,-0.457831205,OK,OPTIMAL,1
0.2,2000,0.5575328589,OK,OPTIMAL,-0.551383526,OK,OPTIMAL,1
0.1,2000,0.6966865333,OK,OPTIMAL,-0.688066627,OK,OPTIMAL,1
1,2000,0.0047938324,OK,OPTIMAL,0.0047938324,OK,BEST_FE,2
0.9,2000,0.080584431,OK,OPTIMAL,-0.069113145,OK,OPTIMAL,2
0.8,2000,0.1412604556,OK,OPTIMAL,-0.13064339,OK,OPTIMAL,2
0.7,2000,0.1987624547,OK,OPTIMAL,-0.187937437,OK,OPTIMAL,2
0.6,2000,0.2555304574,OK,OPTIMAL,-0.245156537,OK,OPTIMAL,2
0.5,2000,0.3151098707,OK,OPTIMAL,-0.305515319,OK,OPTIMAL,2
0.4,2000,0.3809435269,OK,OPTIMAL,-0.372530207,OK,OPTIMAL,2
0.3,2000,0.457770166,OK,OPTIMAL,-0.451069583,OK,OPTIMAL,2
0.2,2000,0.5539175482,OK,OPTIMAL,-0.548450634,OK,OPTIMAL,2
0.1,2000,0.6896620215,OK,OPTIMAL,-0.697118875,OK,OPTIMAL,2
1,2000,0.0051430009,OK,OPTIMAL,0.0051430009,OK,BEST_FE,3
0.9,2000,0.0778443022,OK,OPTIMAL,-0.071039285,OK,OPTIMAL,3
0.8,2000,0.1378041614,OK,OPTIMAL,-0.133068719,OK,OPTIMAL,3
0.7,2000,0.1962017331,OK,OPTIMAL,-0.191551452,OK,OPTIMAL,3
0.6,2000,0.2552690384,OK,OPTIMAL,-0.24849358,OK,OPTIMAL,3
0.5,2000,0.3176823821,OK,OPTIMAL,-0.307298181,OK,OPTIMAL,3
0.4,2000,0.3868219946,OK,OPTIMAL,-0.371264823,OK,OPTIMAL,3
0.3,2000,0.4673752728,OK,OPTIMAL,-0.443939483,OK,OPTIMAL,3
0.2,2000,0.5653573096,OK,OPTIMAL,-0.532844868,OK,OPTIMAL,3
0.1,2000,0.7105511678,OK,OPTIMAL,-0.668879991,OK,OPTIMAL,3
1,2000,-0.004460552,OK,BEST_FE,-0.004460555,OK,OPTIMAL,4
0.9,2000,0.069440785,OK,OPTIMAL,-0.078031193,OK,OPTIMAL,4
0.8,2000,0.1300864455,OK,OPTIMAL,-0.138138592,OK,OPTIMAL,4
0.7,2000,0.1869374227,OK,OPTIMAL,-0.195075818,OK,OPTIMAL,4
0.6,2000,0.2444215363,OK,OPTIMAL,-0.252185211,OK,OPTIMAL,4
0.5,2000,0.3038776128,OK,OPTIMAL,-0.312793952,OK,OPTIMAL,4
0.4,2000,0.3683510329,OK,OPTIMAL,-0.379004024,OK,OPTIMAL,4
0.3,2000,0.4437388295,OK,OPTIMAL,-0.454428462,OK,OPTIMAL,4
0.2,2000,0.5376145108,OK,OPTIMAL,-0.550125237,OK,OPTIMAL,4
0.1,2000,0.6773763616,OK,OPTIMAL,-0.68924613,OK,OPTIMAL,4
1,2000,-0.001646952,OK,BEST_FE,-0.001646953,OK,OPTIMAL,5
0.9,2000,0.071376645,OK,OPTIMAL,-0.0766802,OK,OPTIMAL,5
0.8,2000,0.1311178385,OK,OPTIMAL,-0.13637395,OK,OPTIMAL,5
0.7,2000,0.1878217496,OK,OPTIMAL,-0.193171707,OK,OPTIMAL,5
0.6,2000,0.2444366219,OK,OPTIMAL,-0.249007643,OK,OPTIMAL,5
0.5,2000,0.3041554909,OK,OPTIMAL,-0.307453001,OK,OPTIMAL,5
0.4,2000,0.370640678,OK,BEST_FE,-0.37199969,OK,OPTIMAL,5
0.3,2000,0.4486521725,OK,OPTIMAL,-0.447019568,OK,OPTIMAL,5
0.2,2000,0.5446182074,OK,OPTIMAL,-0.540054764,OK,OPTIMAL,5
0.1,2000,0.6933950354,OK,OPTIMAL,-0.678588598,OK,OPTIMAL,5
1,2000,0.0077454262,OK,BEST_FE,0.0077454261,OK,BEST_FE,6
0.9,2000,0.0831387737,OK,OPTIMAL,-0.064455705,OK,OPTIMAL,6
0.8,2000,0.1441932584,OK,OPTIMAL,-0.124581599,OK,OPTIMAL,6
0.7,2000,0.2014509813,OK,OPTIMAL,-0.183087857,OK,OPTIMAL,6
0.6,2000,0.2593094355,OK,OPTIMAL,-0.24258852,OK,OPTIMAL,6
0.5,2000,0.3194905317,OK,OPTIMAL,-0.303988741,OK,OPTIMAL,6
0.4,2000,0.3844797787,OK,OPTIMAL,-0.370821186,OK,OPTIMAL,6
