p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group
1,5000,0.0025873391,OK,OPTIMAL,0.0025873391,OK,BEST_FE,1
0.9,5000,0.0742017502,OK,OPTIMAL,-0.067926572,OK,OPTIMAL,1
0.8,5000,0.1359478161,OK,OPTIMAL,-0.129432973,OK,OPTIMAL,1
0.7,5000,0.1944406468,OK,OPTIMAL,-0.187750038,OK,OPTIMAL,1
0.6,5000,0.2536681824,OK,OPTIMAL,-0.247269298,OK,OPTIMAL,1
0.5,5000,0.3139869594,OK,OPTIMAL,-0.308805277,OK,OPTIMAL,1
0.4,5000,0.3802768163,OK,OPTIMAL,-0.376954781,OK,OPTIMAL,1
0.3,5000,0.4552112549,OK,OPTIMAL,-0.453256817,OK,OPTIMAL,1
0.2,5000,0.5483281022,OK,OPTIMAL,-0.548528303,OK,OPTIMAL,1
0.1,5000,0.6843769845,OK,OPTIMAL,-0.689238163,OK,OPTIMAL,1
1,5000,0.0005208211,OK,OPTIMAL,0.0005208211,OK,BEST_FE,2
0.9,5000,0.0713037064,OK,OPTIMAL,-0.07041483,OK,OPTIMAL,2
0.8,5000,0.1316124648,OK,OPTIMAL,-0.131385066,OK,OPTIMAL,2
0.7,5000,0.1884006024,OK,OPTIMAL,-0.188780162,OK,OPTIMAL,2
0.6,5000,0.2464943947,OK,OPTIMAL,-0.245904865,OK,OPTIMAL,2
0.5,5000,0.3062290949,OK,OPTIMAL,-0.305195476,OK,OPTIMAL,2
0.4,5000,0.3730501975,OK,OPTIMAL,-0.371346712,OK,OPTIMAL,2
0.3,5000,0.450041141,OK,OPTIMAL,-0.446265838,OK,OPTIMAL,2
0.2,5000,0.5458024346,OK,OPTIMAL,-0.541472041,OK,OPTIMAL,2
0.1,5000,0.6861657683,OK,OPTIMAL,-0.6837611,OK,OPTIMAL,2
1,5000,-0.000702356,OK,BEST_FE,-0.000702356,OK,OPTIMAL,3
0.9,5000,0.0688428625,OK,OPTIMAL,-0.072523999,OK,OPTIMAL,3
0.8,5000,0.1286561096,OK,OPTIMAL,-0.133315931,OK,OPTIMAL,3
0.7,5000,0.1860172184,OK,OPTIMAL,-0.19050993,OK,OPTIMAL,3
0.6,5000,0.2438470187,OK,OPTIMAL,-0.247604541,OK,OPTIMAL,3
0.5,5000,0.3046857412,OK,OPTIMAL,-0.306099014,OK,OPTIMAL,3
0.4,5000,0.3725675707,OK,OPTIMAL,-0.370419551,OK,OPTIMAL,3
0.3,5000,0.4507057118,OK,OPTIMAL,-0.444204717,OK,OPTIMAL,3
0.2,5000,0.5474124942,OK,OPTIMAL,-0.535743978,OK,OPTIMAL,3
0.1,5000,0.693028314,OK,OPTIMAL,-0.673656008,OK,OPTIMAL,3
1,5000,-0.002433054,OK,BEST_FE,-0.002433054,OK,OPTIMAL,4
0.9,5000,0.0692935692,OK,OPTIMAL,-0.07311937,OK,OPTIMAL,4
0.8,5000,0.1311143827,OK,OPTIMAL,-0.134541823,OK,OPTIMAL,4
0.7,5000,0.189127194,OK,OPTIMAL,-0.192825026,OK,OPTIMAL,4
0.6,5000,0.2477383265,OK,OPTIMAL,-0.251484022,OK,OPTIMAL,4
0.5,5000,0.3080450932,OK,OPTIMAL,-0.312946464,OK,OPTIMAL,4
0.4,5000,0.3740320214,OK,OPTIMAL,-0.380598314,OK,OPTIMAL,4
0.3,5000,0.449610004,OK,OPTIMAL,-0.457685405,OK,OPTIMAL,4
0.2,5000,0.543649452,OK,OPTIMAL,-0.554275124,OK,OPTIMAL,4
0.1,5000,0.6808768485,OK,OPTIMAL,-0.695348612,OK,OPTIMAL,4
1,5000,-0.006718364,OK,BEST_FE,-0.006718364,OK,OPTIMAL,5
0.9,5000,0.0640064665,OK,OPTIMAL,-0.078316303,OK,OPTIMAL,5
0.8,5000,0.1241262387,OK,OPTIMAL,-0.139279465,OK,OPTIMAL,5
0.7,5000,0.1813354993,OK,OPTIMAL,-0.197095952,OK,OPTIMAL,5
0.6,5000,0.23950155,OK,OPTIMAL,-0.253984704,OK,OPTIMAL,5
0.5,5000,0.2999678813,OK,OPTIMAL,-0.31340922,OK,OPTIMAL,5
0.4,5000,0.3670896353,OK,OPTIMAL,-0.378950814,OK,OPTIMAL,5
0.3,5000,0.4453522408,OK,OPTIMAL,-0.453911248,OK,OPTIMAL,5
0.2,5000,0.5411220835,OK,OPTIMAL,-0.547708276,OK,OPTIMAL,5
0.1,5000,0.6846870776,OK,OPTIMAL,-0.690365381,OK,OPTIMAL,5
1,5000,-0.005584982,OK,BEST_FE,-0.005584982,OK,OPTIMAL,6
0.9,5000,0.0660193462,OK,OPTIMAL,-0.074470155,OK,OPTIMAL,6
0.8,5000,0.1275362865,OK,OPTIMAL,-0.134411124,OK,OPTIMAL,6
0.7,5000,0.1859389587,OK,OPTIMAL,-0.192143898,OK,OPTIMAL,6
0.6,5000,0.243530457,OK,OPTIMAL,-0.251646516,OK,OPTIMAL,6
0.5,5000,0.3022522567,OK,OPTIMAL,-0.313417813,OK,OPTIMAL,6
