p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group
1,1000,0.0095304052,OK,OPTIMAL,0.0095304051,OK,BEST_FE,1
0.9,1000,0.0874344847,OK,OPTIMAL,-0.068195469,OK,OPTIMAL,1
0.8,1000,0.1508885644,OK,OPTIMAL,-0.131102927,OK,OPTIMAL,1
0.7,1000,0.211530501,OK,OPTIMAL,-0.191159169,OK,OPTIMAL,1
0.6,1000,0.2717417525,OK,OPTIMAL,-0.252230634,OK,OPTIMAL,1
0.5,1000,0.3341942171,OK,OPTIMAL,-0.31513533,OK,OPTIMAL,1
0.4,1000,0.4027960877,OK,OPTIMAL,-0.384409282,OK,OPTIMAL,1
0.3,1000,0.4794701385,OK,OPTIMAL,-0.463466338,OK,OPTIMAL,1
0.2,1000,0.5758151504,OK,OPTIMAL,-0.559644653,OK,OPTIMAL,1
0.1,1000,0.719062396,OK,OPTIMAL,-0.701571302,OK,OPTIMAL,1
1,1000,0.0071124362,OK,OPTIMAL,0.0071124312,OK,BEST_FE,2
0.9,1000,0.0832622915,OK,OPTIMAL,-0.067733176,OK,OPTIMAL,2
0.8,1000,0.1418903675,OK,OPTIMAL,-0.129111562,OK,OPTIMAL,2
0.7,1000,0.1971134197,OK,OPTIMAL,-0.185282555,OK,OPTIMAL,2
0.6,1000,0.2514446999,OK,OPTIMAL,-0.23980161,OK,OPTIMAL,2
0.5,1000,0.3109317775,OK,OPTIMAL,-0.296682474,OK,OPTIMAL,2
0.4,1000,0.3781166263,OK,OPTIMAL,-0.360029199,OK,OPTIMAL,2
0.3,1000,0.4577110017,OK,OPTIMAL,-0.43788761,OK,OPTIMAL,2
0.2,1000,0.5557673787,OK,OPTIMAL,-0.535748701,OK,OPTIMAL,2
0.1,1000,0.6907492746,OK,OPTIMAL,-0.688231195,OK,OPTIMAL,2
1,1000,0.0039364002,OK,OPTIMAL,0.0039363979,OK,BEST_FE,3
0.9,1000,0.0783102576,OK,OPTIMAL,-0.072095624,OK,OPTIMAL,3
0.8,1000,0.1385930252,OK,OPTIMAL,-0.134229052,OK,OPTIMAL,3
0.7,1000,0.1977717459,OK,OPTIMAL,-0.194647093,OK,OPTIMAL,3
0.6,1000,0.2585425995,OK,OPTIMAL,-0.254271487,OK,OPTIMAL,3
0.5,1000,0.3227262482,OK,OPTIMAL,-0.314857373,OK,OPTIMAL,3
0.4,1000,0.3918726765,OK,OPTIMAL,-0.378597662,OK,BEST_FE,3
0.3,1000,0.4689905127,OK,OPTIMAL,-0.450050222,OK,OPTIMAL,3
0.2,1000,0.5603461914,OK,OPTIMAL,-0.53843319,OK,OPTIMAL,3
0.1,1000,0.6982655223,OK,OPTIMAL,-0.675426503,OK,OPTIMAL,3
1,1000,-0.013333721,OK,BEST_FE,-0.013333729,OK,OPTIMAL,4
0.9,1000,0.059518193,OK,OPTIMAL,-0.085979205,OK,OPTIMAL,4
0.8,1000,0.1173196252,OK,OPTIMAL,-0.144960554,OK,OPTIMAL,4
0.7,1000,0.1724202714,OK,OPTIMAL,-0.201000813,OK,OPTIMAL,4
0.6,1000,0.2287298529,OK,OPTIMAL,-0.25599097,OK,OPTIMAL,4
0.5,1000,0.2881874039,OK,OPTIMAL,-0.314857312,OK,OPTIMAL,4
0.4,1000,0.3512764466,OK,OPTIMAL,-0.376999783,OK,OPTIMAL,4
0.3,1000,0.4262156182,OK,OPTIMAL,-0.448419247,OK,OPTIMAL,4
0.2,1000,0.516924596,OK,OPTIMAL,-0.539698919,OK,OPTIMAL,4
0.1,1000,0.6504513694,OK,OPTIMAL,-0.67897527,OK,OPTIMAL,4
1,1000,-0.006377381,OK,BEST_FE,-0.006377385,OK,BEST_FE,5
0.9,1000,0.0641702817,OK,OPTIMAL,-0.081967477,OK,OPTIMAL,5
0.8,1000,0.1233825562,OK,OPTIMAL,-0.140236132,OK,OPTIMAL,5
0.7,1000,0.1793317694,OK,OPTIMAL,-0.195227511,OK,OPTIMAL,5
0.6,1000,0.2351678329,OK,OPTIMAL,-0.248871841,OK,OPTIMAL,5
0.5,1000,0.2931584414,OK,OPTIMAL,-0.305912927,OK,OPTIMAL,5
0.4,1000,0.3579831643,OK,OPTIMAL,-0.369318782,OK,OPTIMAL,5
0.3,1000,0.4359263688,OK,OPTIMAL,-0.441357512,OK,OPTIMAL,5
0.2,1000,0.5328154225,OK,OPTIMAL,-0.529161035,OK,OPTIMAL,5
0.1,1000,0.6839316045,OK,OPTIMAL,-0.651375696,OK,OPTIMAL,5
1,1000,0.0164063766,OK,BEST_FE,0.0164063765,OK,BEST_FE,6
