p,maxb,k,minb,as
1,0.0040880113,20000,0.0040880113,1
0.9,0.1208609449,20000,-0.112054942,1
0.8,0.2361812205,20000,-0.2275426,1
0.7,0.3409938718,20000,-0.332901375,1
0.6,0.4577438933,20000,-0.449645749,1
0.5,0.5728799605,20000,-0.564702817,1
0.4,0.6979759817,20000,-0.689686014,1
0.3,0.8420797717,20000,-0.833882739,1
0.2,1.0233500123,20000,-1.016151518,1
0.1,1.288494951,20000,-1.286789973,1
1,0.0040880113,20000,0.0040880113,2
0.9,0.1207340966,20000,-0.111877302,2
0.8,0.2362069097,20000,-0.227575087,2
0.7,0.3412416438,20000,-0.332994416,2
0.6,0.4577339055,20000,-0.449636337,2
0.5,0.5728822988,20000,-0.564704916,2
0.4,0.6979747311,20000,-0.689686296,2
0.3,0.842079698,20000,-0.833907813,2
0.2,1.0228976484,20000,-1.016236259,2
0.1,1.2884914911,20000,-1.286796343,2
1,0.0040880113,20000,0.0040880113,3
0.9,0.120861093,20000,-0.112052412,3
0.8,0.2361736476,20000,-0.22753719,3
0.7,0.3409741141,20000,-0.33288651,3
0.6,0.4577403348,20000,-0.449641552,3
0.5,0.5728799675,20000,-0.564702828,3
0.4,0.697975967,20000,-0.689686014,3
0.3,0.8420797712,20000,-0.833882737,3
0.2,1.0233515069,20000,-1.016151511,3
0.1,1.2884814315,20000,-1.286783599,3
