p,maxb,k,minb,as
1,0.0053602549,20000,0.0053602549,1
0.9,0.1321523763,20000,-0.121065811,1
0.8,0.2691480007,20000,-0.258055234,1
0.7,0.389641971,20000,-0.379691015,1
0.6,0.5342074121,20000,-0.524081407,1
0.5,0.6713068586,20000,-0.660590409,1
0.4,0.820432177,20000,-0.808792575,1
0.3,0.9923264722,20000,-0.979835681,1
0.2,1.2069655114,20000,-1.19721548,1
0.1,1.5264618621,20000,-1.521043947,1
1,0.0053602549,20000,0.0053602549,2
0.9,0.1338800821,20000,-0.122930707,2
0.8,0.4623296459,20000,-0.2225912,2
0.7,0.5928823945,20000,-0.307724057,2
0.6,0.7195480266,20000,-0.400535299,2
0.5,0.8509122463,20000,-0.490406043,2
0.4,0.9758908188,20000,-0.97851258,2
0.3,1.1456502961,20000,-1.127840071,2
0.2,1.338137638,20000,-1.326697033,2
0.1,1.4767868331,20000,-1.501677121,2
1,0.0053602549,20000,0.0053602549,3
0.9,0.132148543,20000,-0.121059539,3
0.8,0.2691701989,20000,-0.25808484,3
0.7,0.3899346823,20000,-0.379778191,3
0.6,0.5342429394,20000,-0.524120646,3
0.5,0.6713060923,20000,-0.66059129,3
0.4,0.8204379469,20000,-0.808798125,3
0.3,0.9923294484,20000,-0.97983888,3
0.2,1.207020764,20000,-1.200921804,3
0.1,1.5250846841,20000,-1.519289156,3
