p,maxb,k,minb,group
1,0.0061018795,2000,0.0061018795,1
0.9,0.1378023977,2000,-0.127478449,1
0.8,0.2468742311,2000,-0.237542233,1
0.7,0.3518353782,2000,-0.340887702,1
0.6,0.4586229832,2000,-0.44553176,1
0.5,0.5673684227,2000,-0.555164538,1
0.4,0.6853151358,2000,-0.674446634,1
0.3,0.8204393321,2000,-0.805300231,1
0.2,0.991241526,2000,-0.967604618,1
0.1,1.2366356669,2000,-1.207621797,1
1,-0.020363501,2000,-0.020363501,2
0.9,0.1114217688,2000,-0.156588808,2
0.8,0.2163240244,2000,-0.266284869,2
0.7,0.3180066035,2000,-0.364949918,2
0.6,0.4192926714,2000,-0.464270574,2
0.5,0.5271180303,2000,-0.567898052,2
0.4,0.647254926,2000,-0.6816088,2
0.3,0.7883662922,2000,-0.814607111,2
0.2,0.9739426507,2000,-0.977770651,2
0.1,1.2340758903,2000,-1.234738153,2
1,-0.002901344,2000,-0.002901344,3
0.9,0.1252236287,2000,-0.134404356,3
0.8,0.2280260004,2000,-0.239663586,3
0.7,0.3287427775,2000,-0.338201611,3
0.6,0.4300458123,2000,-0.435982974,3
0.5,0.5346440514,2000,-0.540447211,3
0.4,0.6484767842,2000,-0.654083164,3
0.3,0.7841817719,2000,-0.781443262,3
0.2,0.9547331445,2000,-0.937206114,3
0.1,1.2089003356,2000,-1.184265823,3
1,0.0046805283,2000,0.0046805283,4
0.9,0.1308399154,2000,-0.126013595,4
0.8,0.238923137,2000,-0.23398049,4
0.7,0.3415754886,2000,-0.336348387,4
0.6,0.4434132844,2000,-0.436480456,4
0.5,0.5503831663,2000,-0.541017267,4
0.4,0.668173599,2000,-0.655189701,4
0.3,0.805132609,2000,-0.786113679,4
0.2,0.9699479665,2000,-0.942884682,4
0.1,1.2093457881,2000,-1.159023183,4
1,-0.018053641,2000,-0.018053641,5
0.9,0.1149270828,2000,-0.151306966,5
0.8,0.2217982298,2000,-0.259189796,5
0.7,0.3228928172,2000,-0.360157805,5
0.6,0.4257388186,2000,-0.461141257,5
0.5,0.5318398022,2000,-0.567928705,5
0.4,0.6483336796,2000,-0.685507096,5
0.3,0.7849093477,2000,-0.818308784,5
0.2,0.9571040564,2000,-0.988048438,5
0.1,1.2096143152,2000,-1.243123454,5
1,-0.01680619,2000,-0.01680619,6
0.9,0.1162923676,2000,-0.14496412,6
0.8,0.2239707323,2000,-0.25284375,6
0.7,0.3273418972,2000,-0.35652467,6
0.6,0.4310508882,2000,-0.461791352,6
0.5,0.5392595533,2000,-0.572871886,6
0.4,0.6524138729,2000,-0.690361208,6
0.3,0.7806407992,2000,-0.824622712,6
0.2,0.937963066,2000,-0.990506315,6
0.1,1.1648829374,2000,-1.243079656,6
1,-0.006326495,2000,-0.006326495,7
0.9,0.1217224713,2000,-0.137265578,7
0.8,0.2254604963,2000,-0.242229222,7
0.7,0.3255200693,2000,-0.343147489,7
0.6,0.4293341127,2000,-0.445077513,7
0.5,0.5373318882,2000,-0.549975774,7
0.4,0.6535646941,2000,-0.661565581,7
0.3,0.7842974093,2000,-0.785349812,7
0.2,0.9478658867,2000,-0.944052582,7
0.1,1.2005197231,2000,-1.187175627,7
1,0.0019521629,2000,0.0019521629,8
0.9,0.134172412,2000,-0.129065391,8
0.8,0.2392000253,2000,-0.233292354,8
0.7,0.3387204018,2000,-0.331835554,8
0.6,0.4393408309,2000,-0.431364685,8
0.5,0.5416086929,2000,-0.537812959,8
0.4,0.6536726964,2000,-0.655895181,8
0.3,0.785489244,2000,-0.788524737,8
0.2,0.9534951559,2000,-0.957615575,8
0.1,1.2094480082,2000,-1.216470412,8
1,-0.020900027,2000,-0.020900027,9
0.9,0.1060903589,2000,-0.146609988,9
0.8,0.2068922688,2000,-0.248285844,9
0.7,0.3028302106,2000,-0.344286979,9
0.6,0.400405619,2000,-0.441731875,9
0.5,0.5016292481,2000,-0.543407353,9
0.4,0.6121195182,2000,-0.654621839,9
0.3,0.7384222197,2000,-0.780961401,9
0.2,0.8991966409,2000,-0.942679382,9
0.1,1.1386624781,2000,-1.192111485,9
1,-0.00349421,2000,-0.00349421,10
0.9,0.1250782529,2000,-0.131141122,10
0.8,0.2289852648,2000,-0.236084578,10
0.7,0.3266210093,2000,-0.335722017,10
0.6,0.4263483154,2000,-0.435972967,10
0.5,0.5315871067,2000,-0.538579311,10
0.4,0.6469664076,2000,-0.649774305,10
0.3,0.7764761696,2000,-0.778457689,10
0.2,0.9375008558,2000,-0.943995146,10
0.1,1.1736600708,2000,-1.188976891,10
