p,maxb,k,minb,group
1,-0.006073999,2000,-0.006073999,1
0.9,0.1475749427,2000,-0.163728583,1
0.8,0.2749211114,2000,-0.290991551,1
0.7,0.3965191708,2000,-0.412150085,1
0.6,0.5153319481,2000,-0.531215034,1
0.5,0.6418531508,2000,-0.653915372,1
0.4,0.7834205451,2000,-0.789961774,1
0.3,0.9461831524,2000,-0.950205115,1
0.2,1.1442902234,2000,-1.140743578,1
0.1,1.4413803524,2000,-1.417467758,1
1,0.0208556057,2000,0.0208556057,2
0.9,0.1817937069,2000,-0.129751187,2
0.8,0.3074796197,2000,-0.255426979,2
0.7,0.4259203029,2000,-0.377684793,2
0.6,0.5462449872,2000,-0.500417738,2
0.5,0.6698400482,2000,-0.628123285,2
0.4,0.8045410062,2000,-0.76900821,2
0.3,0.9555251809,2000,-0.929023122,2
0.2,1.1366531459,2000,-1.136345551,2
0.1,1.4048505349,2000,-1.456137321,2
1,-0.003990308,2000,-0.003990308,3
0.9,0.1520880288,2000,-0.163712116,3
0.8,0.2812523256,2000,-0.294817646,3
0.7,0.4050995988,2000,-0.417063297,3
0.6,0.5273586043,2000,-0.538433563,3
0.5,0.6572223729,2000,-0.665203339,3
0.4,0.7994503817,2000,-0.802628222,3
0.3,0.9646026489,2000,-0.963287791,3
0.2,1.1700220218,2000,-1.155647778,3
0.1,1.4621013004,2000,-1.437272713,3
1,-0.028894594,2000,-0.028894594,4
0.9,0.1300493473,2000,-0.184567515,4
0.8,0.2587381527,2000,-0.311655656,4
0.7,0.3810993728,2000,-0.433813716,4
0.6,0.5043741517,2000,-0.5569853,4
0.5,0.6301166743,2000,-0.687919451,4
0.4,0.7650097111,2000,-0.830574164,4
0.3,0.9207359862,2000,-0.990386425,4
0.2,1.1128267536,2000,-1.190100879,4
0.1,1.4006786917,2000,-1.48789417,4
1,0.0057615342,2000,0.0057615342,5
0.9,0.1582273557,2000,-0.152212938,5
0.8,0.2823755348,2000,-0.279829491,5
0.7,0.4011707258,2000,-0.398165405,5
0.6,0.5239293637,2000,-0.517018919,5
0.5,0.6541353045,2000,-0.642599288,5
0.4,0.7917015891,2000,-0.773256577,5
0.3,0.9530120501,2000,-0.921669672,5
0.2,1.1588213088,2000,-1.11137201,5
0.1,1.4561101172,2000,-1.394967749,5
1,-0.009510121,2000,-0.009510121,6
0.9,0.1488966706,2000,-0.16280842,6
0.8,0.2771354373,2000,-0.289070172,6
0.7,0.3979328993,2000,-0.409171188,6
0.6,0.5163381714,2000,-0.531049265,6
0.5,0.6399095764,2000,-0.658924724,6
0.4,0.7745750391,2000,-0.800056832,6
0.3,0.9277680021,2000,-0.964961898,6
0.2,1.1194214935,2000,-1.166792887,6
0.1,1.3987082247,2000,-1.463710462,6
1,0.0392052585,2000,0.0392052585,7
0.9,0.1915712287,2000,-0.116526768,7
0.8,0.3190715047,2000,-0.243903469,7
0.7,0.4418862052,2000,-0.363503943,7
0.6,0.5637551289,2000,-0.484223085,7
0.5,0.6899538034,2000,-0.61156176,7
0.4,0.8261121429,2000,-0.749395054,7
0.3,0.983606592,2000,-0.905135586,7
0.2,1.18236424,2000,-1.090953028,7
0.1,1.4693610963,2000,-1.360547871,7
1,-0.005803756,2000,-0.005803756,8
0.9,0.1508752132,2000,-0.164217187,8
0.8,0.278049155,2000,-0.293184281,8
0.7,0.3986978552,2000,-0.412899668,8
0.6,0.5187916917,2000,-0.531208441,8
0.5,0.6448527365,2000,-0.656388379,8
0.4,0.7840809175,2000,-0.794474179,8
0.3,0.9488332439,2000,-0.954395803,8
0.2,1.1544338481,2000,-1.151905695,8
0.1,1.448417268,2000,-1.444465864,8
1,-0.024550383,2000,-0.024550383,9
0.9,0.1293723687,2000,-0.176541755,9
0.8,0.2524185052,2000,-0.300051199,9
0.7,0.3686937305,2000,-0.417069983,9
0.6,0.4838451475,2000,-0.531116333,9
0.5,0.6047232524,2000,-0.653833799,9
0.4,0.7370577127,2000,-0.788919552,9
0.3,0.8960777909,2000,-0.946860211,9
0.2,1.0881317838,2000,-1.143105277,9
0.1,1.371911911,2000,-1.438353106,9
1,-0.008404342,2000,-0.008404342,10
0.9,0.1480410919,2000,-0.160313089,10
0.8,0.277192926,2000,-0.287868996,10
0.7,0.3993402668,2000,-0.410175706,10
0.6,0.5200573779,2000,-0.533308931,10
0.5,0.6450820312,2000,-0.66189051,10
0.4,0.7807326625,2000,-0.802874462,10
0.3,0.9338121662,2000,-0.964556641,10
0.2,1.120129087,2000,-1.161483847,10
0.1,1.3872968249,2000,-1.444907825,10
