p,maxb,k,minb,group
1,0.0104362039,2000,0.0104362039,1
0.9,0.1905084713,2000,-0.168451946,1
0.8,0.341912439,2000,-0.314927083,1
0.7,0.484940914,2000,-0.456904894,1
0.6,0.6273486571,2000,-0.601010769,1
0.5,0.7727408565,2000,-0.751855333,1
0.4,0.9304988266,2000,-0.917843346,1
0.3,1.1087545456,2000,-1.104500835,1
0.2,1.3293385101,2000,-1.333025912,1
0.1,1.6669268808,2000,-1.65692797,1
1,-0.035075812,2000,-0.035075812,2
0.9,0.140349211,2000,-0.217736621,2
0.8,0.2846725499,2000,-0.36372383,2
0.7,0.4220979535,2000,-0.499496809,2
0.6,0.5606008752,2000,-0.634384365,2
0.5,0.7050749768,2000,-0.775386297,2
0.4,0.8667739424,2000,-0.93149193,2
0.3,1.0563271718,2000,-1.109569632,2
0.2,1.2970123221,2000,-1.331541506,2
0.1,1.6555554366,2000,-1.660580336,2
1,-0.002051902,2000,-0.002051902,3
0.9,0.1721191941,2000,-0.181101752,3
0.8,0.3137913394,2000,-0.32553641,3
0.7,0.4488858822,2000,-0.460807482,3
0.6,0.5855999189,2000,-0.594598836,3
0.5,0.7296608258,2000,-0.733946139,3
0.4,0.8896716867,2000,-0.886434229,3
0.3,1.0761224804,2000,-1.061977247,3
0.2,1.3093949232,2000,-1.282864778,3
0.1,1.6560744171,2000,-1.616216875,3
1,0.0182595775,2000,0.0182595775,4
0.9,0.1940057363,2000,-0.157756627,4
0.8,0.3392654265,2000,-0.303866875,4
0.7,0.476882789,2000,-0.442927431,4
0.6,0.6149213574,2000,-0.582068733,4
0.5,0.761387911,2000,-0.724868238,4
0.4,0.9216303996,2000,-0.879622848,4
0.3,1.1020927426,2000,-1.059600477,4
0.2,1.3242708868,2000,-1.283222478,4
0.1,1.6490820082,2000,-1.610211552,4
1,-0.02571156,2000,-0.02571156,5
0.9,0.1530722525,2000,-0.202207326,5
0.8,0.2966709907,2000,-0.347626085,5
0.7,0.4339962798,2000,-0.485161825,5
0.6,0.5722346237,2000,-0.62177916,5
0.5,0.7156791201,2000,-0.767106864,5
0.4,0.871285752,2000,-0.925519289,5
0.3,1.0541020887,2000,-1.106117976,5
0.2,1.2794521774,2000,-1.332688431,5
0.1,1.6094369103,2000,-1.681455204,5
1,-0.01764177,2000,-0.01764177,6
0.9,0.1605617394,2000,-0.189387153,6
0.8,0.3067319491,2000,-0.331739575,6
0.7,0.4441962462,2000,-0.468286454,6
0.6,0.5811849735,2000,-0.607656044,6
0.5,0.7197094805,2000,-0.755208822,6
0.4,0.8702593297,2000,-0.918820718,6
0.3,1.0416106872,2000,-1.103125405,6
0.2,1.2562052127,2000,-1.332613026,6
0.1,1.5748214571,2000,-1.668088635,6
1,-0.02474405,2000,-0.02474405,7
0.9,0.1454972059,2000,-0.2004162,7
0.8,0.2897862679,2000,-0.344157535,7
0.7,0.4284298875,2000,-0.481515511,7
0.6,0.5687415304,2000,-0.620261394,7
0.5,0.7147774993,2000,-0.764413294,7
0.4,0.8714080883,2000,-0.917871178,7
0.3,1.0488056013,2000,-1.089982998,7
0.2,1.2703670985,2000,-1.300324886,7
0.1,1.6030593032,2000,-1.603509057,7
1,0.0049722703,2000,0.0049722703,8
0.9,0.1859846583,2000,-0.167796131,8
0.8,0.3290817369,2000,-0.309254602,8
0.7,0.4618341626,2000,-0.444091381,8
0.6,0.5974668415,2000,-0.580702675,8
0.5,0.7366456781,2000,-0.72687838,8
0.4,0.8863470652,2000,-0.886664104,8
0.3,1.0605130669,2000,-1.068761264,8
0.2,1.2793133843,2000,-1.308898312,8
0.1,1.636934048,2000,-1.670825315,8
1,-0.016555584,2000,-0.016555584,9
0.9,0.1525034164,2000,-0.18745924,9
0.8,0.2906759445,2000,-0.329053036,9
0.7,0.4238553444,2000,-0.462451663,9
0.6,0.5580875187,2000,-0.595158762,9
0.5,0.7001897273,2000,-0.733331063,9
0.4,0.8542468843,2000,-0.881408213,9
0.3,1.0316093797,2000,-1.051918551,9
0.2,1.2508691878,2000,-1.262967172,9
0.1,1.5682247688,2000,-1.584671972,9
1,-0.000948555,2000,-0.000948555,10
0.9,0.1717881,2000,-0.173329758,10
0.8,0.3134243733,2000,-0.318912274,10
0.7,0.4483238838,2000,-0.455914441,10
0.6,0.5846782693,2000,-0.59171407,10
0.5,0.7299371392,2000,-0.731834072,10
0.4,0.888068112,2000,-0.882280937,10
0.3,1.0683787313,2000,-1.056990096,10
0.2,1.2884239196,2000,-1.275937011,10
0.1,1.5971853266,2000,-1.602249076,10
