p,maxb,k,minb,group
1,0.008581018,2000,0.008581018,1
0.9,0.180044259,2000,-0.164787312,1
0.8,0.3238503283,2000,-0.308773398,1
0.7,0.4609733097,2000,-0.444302436,1
0.6,0.6015133533,2000,-0.582558758,1
0.5,0.7436976484,2000,-0.726545741,1
0.4,0.8981927365,2000,-0.883730822,1
0.3,1.0731190438,2000,-1.055056219,1
0.2,1.2954737749,2000,-1.27001991,1
0.1,1.6156278888,2000,-1.581298546,1
1,-0.028692195,2000,-0.028692195,2
0.9,0.1418401943,2000,-0.206120892,2
0.8,0.2803956255,2000,-0.34935714,2
0.7,0.412999079,2000,-0.478355279,2
0.6,0.5454227672,2000,-0.607733555,2
0.5,0.6857586938,2000,-0.743144045,2
0.4,0.8427442264,2000,-0.892761014,2
0.3,1.0282380941,2000,-1.06703491,2
0.2,1.2715157677,2000,-1.282512439,2
0.1,1.6149247603,2000,-1.60999166,2
1,-0.003431402,2000,-0.003431402,3
0.9,0.163493841,2000,-0.174621116,3
0.8,0.2981501253,2000,-0.31275501,3
0.7,0.4291983284,2000,-0.442204529,3
0.6,0.5624634754,2000,-0.569867737,3
0.5,0.6985238049,2000,-0.705417873,3
0.4,0.84909368,2000,-0.855173271,3
0.3,1.0281088936,2000,-1.020698367,3
0.2,1.2513232408,2000,-1.227180218,3
0.1,1.5838949383,2000,-1.552383678,3
1,0.0088679367,2000,0.0088679367,4
0.9,0.1739951475,2000,-0.161204403,4
0.8,0.3145948405,2000,-0.302894208,4
0.7,0.4487411187,2000,-0.437318552,4
0.6,0.5823294116,2000,-0.568789884,4
0.5,0.7228079803,2000,-0.705099079,4
0.4,0.8782740698,2000,-0.854222509,4
0.3,1.0577225873,2000,-1.025287156,4
0.2,1.2733923751,2000,-1.231458189,4
0.1,1.586144059,2000,-1.52373348,4
1,-0.02423713,2000,-0.02423713,5
0.9,0.1484885045,2000,-0.197216248,5
0.8,0.2881000892,2000,-0.338367053,5
0.7,0.4206612225,2000,-0.470777045,5
0.6,0.5545633927,2000,-0.602044621,5
0.5,0.6930334549,2000,-0.741519826,5
0.4,0.845345987,2000,-0.895332869,5
0.3,1.0254548884,2000,-1.070222326,5
0.2,1.2497330706,2000,-1.291056076,5
0.1,1.5792250783,2000,-1.625339546,5
1,-0.021159629,2000,-0.021159629,6
0.9,0.1515813258,2000,-0.187708082,6
0.8,0.2924019504,2000,-0.327262327,6
0.7,0.4273927807,2000,-0.462567577,6
0.6,0.5629313404,2000,-0.599458665,6
0.5,0.702560679,2000,-0.7448474,6
0.4,0.8491633723,2000,-0.90018878,6
0.3,1.0165973685,2000,-1.075588223,6
0.2,1.2206897062,2000,-1.292877984,6
0.1,1.5242656762,2000,-1.622395023,6
1,-0.012000559,2000,-0.012000559,7
0.9,0.1539939316,2000,-0.182205847,7
0.8,0.289973992,2000,-0.319442067,7
0.7,0.4217651017,2000,-0.452196766,7
0.6,0.5575786356,2000,-0.585690348,7
0.5,0.699065778,2000,-0.723087618,7
0.4,0.8514089726,2000,-0.869254258,7
0.3,1.0228671583,2000,-1.032073092,7
0.2,1.2351924083,2000,-1.237306463,7
0.1,1.5665177464,2000,-1.552750071,7
1,0.003109411,2000,0.003109411,8
0.9,0.1755712843,2000,-0.166412909,8
0.8,0.3132914552,2000,-0.302494887,8
0.7,0.4430341543,2000,-0.431611006,8
0.6,0.5744028619,2000,-0.562827255,8
0.5,0.7081243835,2000,-0.702089733,8
0.4,0.8548962236,2000,-0.856736113,8
0.3,1.0251793937,2000,-1.031127711,8
0.2,1.2429352061,2000,-1.254982814,8
0.1,1.5751375083,2000,-1.595759137,8
1,-0.025113898,2000,-0.025113898,9
0.9,0.1397398986,2000,-0.188640946,9
0.8,0.2719975405,2000,-0.321768318,9
0.7,0.3978160798,2000,-0.448178801,9
0.6,0.5256569758,2000,-0.575805653,9
0.5,0.6587080231,2000,-0.708892923,9
0.4,0.8038100715,2000,-0.854157602,9
0.3,0.9698864203,2000,-1.019781438,9
0.2,1.1789180804,2000,-1.230992484,9
0.1,1.4932315624,2000,-1.555299802,9
1,-0.003793176,2000,-0.003793176,10
0.9,0.163071945,2000,-0.169899568,10
0.8,0.2992599495,2000,-0.308091985,10
0.7,0.4269216809,2000,-0.438314609,10
0.6,0.5579085327,2000,-0.570043803,10
0.5,0.696704906,2000,-0.704290951,10
0.4,0.8484647004,2000,-0.849226829,10
0.3,1.0179327524,2000,-1.016637294,10
0.2,1.2309020249,2000,-1.233463922,10
0.1,1.5378147118,2000,-1.552218572,10
