p,maxb,k,minb,group
1,-0.00604464,2000,-0.00604464,1
0.9,0.1577535434,2000,-0.173214758,1
0.8,0.295002389,2000,-0.310802465,1
0.7,0.4263103356,2000,-0.440877099,1
0.6,0.5543313626,2000,-0.569278816,1
0.5,0.690272343,2000,-0.702360017,1
0.4,0.8417218623,2000,-0.849505688,1
0.3,1.0163200233,2000,-1.022618802,1
0.2,1.2304504927,2000,-1.227685518,1
0.1,1.5451363748,2000,-1.5269521,1
1,0.0207993539,2000,0.0207993539,2
0.9,0.1923775745,2000,-0.139974758,2
0.8,0.3278361514,2000,-0.27530324,2
0.7,0.4552504599,2000,-0.407256065,2
0.6,0.5850208315,2000,-0.53925433,2
0.5,0.718154596,2000,-0.676556738,2
0.4,0.8637693524,2000,-0.828425838,2
0.3,1.027341171,2000,-1.000652747,2
0.2,1.2226493878,2000,-1.224804718,2
0.1,,2000,-1.570147545,2
1,-0.004494741,2000,-0.004494741,3
0.9,0.1611975315,2000,-0.175123247,3
0.8,0.300318798,2000,-0.315490937,3
0.7,0.4331872316,2000,-0.447065935,3
0.6,0.5648288346,2000,-0.577935782,3
0.5,0.705527045,2000,-0.714518568,3
0.4,0.8585641693,2000,-0.86136484,3
0.3,1.0359343776,2000,-1.033504539,3
0.2,1.2570060238,2000,-1.241207404,3
0.1,,2000,-1.542487902,3
1,-0.030600217,2000,-0.030600217,4
0.9,0.1390404823,2000,-0.195861038,4
0.8,0.2774832651,2000,-0.332655248,4
0.7,0.4090313283,2000,-0.463469008,4
0.6,0.5410405298,2000,-0.596037961,4
0.5,0.6762457989,2000,-0.737442352,4
0.4,0.8204361808,2000,-0.890960576,4
0.3,0.9873566835,2000,-1.06436101,4
0.2,1.1950028475,2000,1.1950028475,4
0.1,1.5034591661,2000,-1.603932759,4
1,0.0048040476,2000,0.0048040476,5
0.9,0.1676653814,2000,-0.163937186,5
0.8,0.3013648004,2000,-0.301058231,5
0.7,0.4293768012,2000,-0.428599335,5
0.6,0.5613646502,2000,-0.556073512,5
0.5,0.7007959734,2000,-0.691187669,5
0.4,0.848997064,2000,-0.832924734,5
0.3,1.0238119616,2000,-0.993766905,5
0.2,1.2457515622,2000,-1.198934256,5
0.1,,2000,,5
1,-0.011462027,2000,-0.011462027,6
0.9,0.1575894495,2000,-0.174670922,6
0.8,0.2963934416,2000,-0.310744352,6
0.7,0.4272495314,2000,-0.441337892,6
0.6,0.5553514694,2000,-0.573072758,6
0.5,0.6884225745,2000,-0.711346112,6
0.4,0.8338408437,2000,-0.864587517,6
0.3,0.9993298159,2000,-1.20244542,6
0.2,1.2031141164,2000,-1.260379966,6
0.1,1.5039825256,2000,-1.57954014,6
1,0.0415213461,2000,0.0415213461,7
0.9,0.2037017459,2000,-0.124228012,7
0.8,0.3407898965,2000,-0.261420859,7
0.7,0.4730731607,2000,-0.390686189,7
0.6,0.6045427881,2000,-0.521298938,7
0.5,0.7412341422,2000,-0.658189822,7
0.4,0.8886389433,2000,-0.805913434,7
0.3,1.0577323109,2000,-0.973218912,7
0.2,1.2707812323,2000,-1.173013355,7
0.1,1.5801118453,2000,1.5801118453,7
1,-0.006069642,2000,-0.006069642,8
0.9,0.1614089128,2000,-0.174931059,8
0.8,0.2983958415,2000,-0.313424143,8
0.7,0.427932264,2000,-0.442656737,8
0.6,0.557736499,2000,-0.570953806,8
0.5,0.6939757908,2000,-0.706114049,8
0.4,0.8441491861,2000,-0.8546809,8
0.3,1.0203928566,2000,-1.026481631,8
0.2,1.2408361654,2000,1.2408361654,8
0.1,,2000,,8
1,-0.027885036,2000,-0.027885036,9
0.9,0.135487995,2000,-0.189755089,9
0.8,0.2680182037,2000,-0.323599099,9
0.7,0.3927118897,2000,-0.449138067,9
0.6,0.5162213001,2000,-0.57142513,9
0.5,0.64677075,2000,-0.702539908,9
0.4,0.7903110647,2000,-0.846934084,9
0.3,0.9627825351,2000,-1.017021579,9
0.2,1.1724781492,2000,-1.22890841,9
0.1,1.4755260464,2000,-1.544793012,9
1,-0.009268458,2000,-0.009268458,10
0.9,0.1575424483,2000,-0.171110105,10
0.8,0.2967619598,2000,-0.307762126,10
0.7,0.4273254343,2000,-0.439320091,10
0.6,0.5569484786,2000,-0.572358627,10
0.5,0.6924865059,2000,-0.711024395,10
0.4,0.838260778,2000,-0.861507378,10
0.3,1.0019120061,2000,-1.035742171,10
0.2,1.2021582583,2000,-1.250846284,10
0.1,,2000,,10
