p,maxb,k,minb,group
1,0.0079565859,2000,0.0079565859,1
0.9,,2000,,1
0.8,,2000,,1
0.7,,2000,,1
0.6,,2000,,1
0.5,,2000,,1
0.4,,2000,,1
0.3,,2000,,1
0.2,,2000,,1
0.1,,2000,,1
1,-0.026608419,2000,-0.026608419,2
0.9,,2000,-0.190951326,2
0.8,,2000,,2
0.7,,2000,,2
0.6,,2000,,2
0.5,,2000,,2
0.4,,2000,,2
0.3,,2000,,2
0.2,,2000,,2
0.1,,2000,,2
1,-0.0031332,2000,-0.0031332,3
0.9,,2000,,3
0.8,,2000,,3
0.7,,2000,,3
0.6,,2000,,3
0.5,,2000,,3
0.4,,2000,,3
0.3,,2000,,3
0.2,,2000,,3
0.1,,2000,,3
1,0.0083935192,2000,0.0083935192,4
0.9,,2000,,4
0.8,,2000,,4
0.7,,2000,,4
0.6,,2000,,4
0.5,,2000,,4
0.4,,2000,,4
0.3,,2000,,4
0.2,,2000,,4
0.1,,2000,,4
1,-0.022387324,2000,-0.022387324,5
0.9,,2000,,5
0.8,,2000,,5
0.7,,2000,,5
0.6,,2000,,5
0.5,,2000,,5
0.4,,2000,,5
0.3,,2000,,5
0.2,,2000,,5
0.1,,2000,,5
1,-0.01943484,2000,-0.01943484,6
0.9,,2000,,6
0.8,,2000,,6
0.7,,2000,,6
0.6,,2000,,6
0.5,,2000,,6
0.4,,2000,,6
0.3,,2000,,6
0.2,,2000,,6
0.1,,2000,,6
1,-0.011359335,2000,-0.011359335,7
0.9,,2000,,7
0.8,,2000,,7
0.7,,2000,,7
0.6,,2000,,7
0.5,,2000,,7
0.4,,2000,,7
0.3,,2000,,7
0.2,,2000,,7
0.1,,2000,,7
1,0.0029103642,2000,0.0029103642,8
0.9,,2000,,8
0.8,,2000,,8
0.7,,2000,,8
0.6,,2000,,8
0.5,,2000,,8
0.4,,2000,,8
0.3,,2000,,8
0.2,,2000,,8
0.1,,2000,,8
1,-0.02296657,2000,-0.02296657,9
0.9,,2000,,9
0.8,,2000,,9
0.7,,2000,,9
0.6,,2000,,9
0.5,,2000,,9
0.4,,2000,,9
0.3,,2000,,9
0.2,,2000,,9
0.1,,2000,,9
1,-0.003433362,2000,-0.003433362,10
0.9,,2000,,10
0.8,,2000,,10
0.7,,2000,,10
0.6,,2000,,10
0.5,,2000,,10
0.4,,2000,,10
0.3,,2000,,10
0.2,,2000,,10
0.1,,2000,,10
