p,k,maxb,status1,solstatus1,s,group
1,2000,0.0040502951,OK,BEST_FE,14,1
0.9,2000,0.2550979313,OK,OPTIMAL,15,1
0.8,2000,0.2850649456,OK,OPTIMAL,17,1
0.7,2000,0.3342689074,OK,OPTIMAL,20,1
0.6,2000,0.5789096971,OK,BEST_FE,23,1
0.5,2000,0.6508086136,OK,BEST_FE,28,1
0.4,2000,0.7337825312,OK,BEST_FE,35,1
0.3,2000,0.8290810133,OK,OPTIMAL,46,1
0.2,2000,0.9055126291,OK,BEST_FE,70,1
0.1,2000,0.9628458886,OK,OPTIMAL,140,1
