p,k,maxb,status1,solstatus1,m,group
1,100,0.033786797,OK,OPTIMAL,4,1
0.9,100,0.1610905288,OK,BEST_FE,4,1
0.8,100,0.3255372841,OK,BEST_FE,4,1
0.7,100,0.4295142274,OK,OPTIMAL,4,1
0.6,100,0.5323523062,OK,BEST_FE,4,1
0.5,100,0.6126821716,OK,BEST_FE,4,1
0.4,100,0.7022820608,OK,BEST_FE,4,1
0.3,100,0.7665868515,OK,BEST_FE,4,1
0.2,100,0.8398029796,OK,OPTIMAL,4,1
0.1,100,0.885470065,OK,OPTIMAL,4,1
