p,k,maxb,status1,solstatus1,m,group
1,100,0.033786797,OK,OPTIMAL,100,1
0.9,100,0.1075015839,OK,OPTIMAL,100,1
0.8,100,0.1760836028,OK,OPTIMAL,100,1
0.7,100,0.2367102164,OK,BEST_FE,100,1
0.6,100,0.2928824382,OK,OPTIMAL,100,1
0.5,100,0.3536562955,OK,BEST_FE,100,1
0.4,100,0.4218157077,OK,BEST_FE,100,1
0.3,100,0.497085609,OK,OPTIMAL,100,1
0.2,100,0.5839305174,OK,OPTIMAL,100,1
0.1,100,0.7126579781,OK,OPTIMAL,100,1
