p,k,maxb,status1,solstatus1,m,group
1,100,0.033786797,OK,OPTIMAL,3,1
0.9,100,0.1675532331,OK,BEST_FE,3,1
0.8,100,0.3309171058,OK,BEST_FE,3,1
0.7,100,0.4330921695,OK,OPTIMAL,3,1
0.6,100,0.5358860882,OK,BEST_FE,3,1
0.5,100,0.6150042883,OK,BEST_FE,3,1
0.4,100,0.7041239141,OK,BEST_FE,3,1
0.3,100,0.7676053157,OK,OPTIMAL,3,1
0.2,100,0.8404346435,OK,BEST_FE,3,1
0.1,100,0.8857139508,OK,OPTIMAL,3,1
