p,k,maxb,status1,solstatus1,minb,status2,solstatus2,group,as
0.2,2000,1.2351922893,OK,OPTIMAL,-1.237307138,OK,OPTIMAL,7,1
0.1,2000,1.5665175339,OK,OPTIMAL,-1.552750014,OK,OPTIMAL,7,1
1,2000,0.003109411,OK,OPTIMAL,0.003109411,OK,BEST_FE,8,1
0.9,2000,0.175571226,OK,OPTIMAL,-0.166412909,OK,OPTIMAL,8,1
0.8,2000,0.3132915853,OK,OPTIMAL,-0.302494937,OK,OPTIMAL,8,1
0.7,2000,0.4430342501,OK,OPTIMAL,-0.431615713,OK,OPTIMAL,8,1
0.6,2000,0.5744025834,OK,OPTIMAL,-0.56282744,OK,OPTIMAL,8,1
0.5,2000,0.7081146889,OK,OPTIMAL,-0.701874362,OK,OPTIMAL,8,1
0.4,2000,0.8548964974,OK,OPTIMAL,-0.856736156,OK,OPTIMAL,8,1
0.3,2000,1.0251794582,OK,OPTIMAL,-1.031127337,OK,OPTIMAL,8,1
0.2,2000,1.242935721,OK,OPTIMAL,-1.254982264,OK,OPTIMAL,8,1
0.1,2000,1.5751375057,OK,OPTIMAL,-1.595759057,OK,OPTIMAL,8,1
1,2000,-0.025113898,OK,BEST_FE,-0.025113898,OK,OPTIMAL,9,1
0.9,2000,0.1397398718,OK,OPTIMAL,-0.188640878,OK,OPTIMAL,9,1
0.8,2000,0.2719978197,OK,OPTIMAL,-0.321768307,OK,OPTIMAL,9,1
0.7,2000,0.3978603475,OK,OPTIMAL,-0.448234026,OK,OPTIMAL,9,1
0.6,2000,0.5256575828,OK,OPTIMAL,-0.575805557,OK,OPTIMAL,9,1
0.5,2000,0.6587438352,OK,OPTIMAL,-0.708972862,OK,OPTIMAL,9,1
0.4,2000,0.8038101244,OK,OPTIMAL,-0.854157615,OK,OPTIMAL,9,1
0.3,2000,0.9698859498,OK,OPTIMAL,-1.019781261,OK,OPTIMAL,9,1
0.2,2000,1.1789180924,OK,OPTIMAL,-1.230992319,OK,OPTIMAL,9,1
0.1,2000,1.4932315532,OK,OPTIMAL,-1.555301015,OK,OPTIMAL,9,1
1,2000,-0.003793176,OK,BEST_FE,-0.003793176,OK,OPTIMAL,10,1
0.9,2000,0.1630719511,OK,OPTIMAL,-0.169899687,OK,OPTIMAL,10,1
0.8,2000,0.299259862,OK,OPTIMAL,-0.30809279,OK,OPTIMAL,10,1
0.7,2000,0.4269724211,OK,OPTIMAL,-0.438367735,OK,OPTIMAL,10,1
0.6,2000,0.5579089848,OK,OPTIMAL,-0.570044438,OK,OPTIMAL,10,1
0.5,2000,0.6967008679,OK,OPTIMAL,-0.704292549,OK,OPTIMAL,10,1
0.4,2000,0.8484647038,OK,OPTIMAL,-0.849226874,OK,OPTIMAL,10,1
0.3,2000,1.0179325857,OK,OPTIMAL,-1.016637097,OK,OPTIMAL,10,1
0.2,2000,1.2309020397,OK,OPTIMAL,-1.233461053,OK,OPTIMAL,10,1
0.1,2000,1.5378147892,OK,OPTIMAL,-1.552217929,OK,OPTIMAL,10,1
1,2000,0.008581018,OK,OPTIMAL,0.008581018,OK,BEST_FE,1,2
0.9,2000,0.3324352312,OK,BEST_FE,-0.283226676,OK,BEST_FE,1,2
0.8,2000,0.482626966,OK,BEST_FE,-0.433802691,OK,OPTIMAL,1,2
0.7,2000,0.5317975412,OK,BEST_FE,-0.566877373,OK,OPTIMAL,1,2
0.6,2000,0.6652333295,OK,BEST_FE,-0.70155169,OK,OPTIMAL,1,2
0.5,2000,0.801903537,OK,OPTIMAL,-0.692417618,OK,BEST_FE,1,2
0.4,2000,0.9360505062,OK,OPTIMAL,-0.896163357,OK,BEST_FE,1,2
0.3,2000,1.1011584413,OK,OPTIMAL,-1.068515539,OK,BEST_FE,1,2
0.2,2000,1.2982184592,OK,OPTIMAL,-1.638434283,OK,BEST_FE,1,2
